Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
Augsburg,15.0,1.73,0.0,0.13,0.13,0.0,2.03,0.3,0.29,0.29,9.93,24.5,40.6,34.1,5.6,46.8,38.6,10.7,80.0,57.0,17.5,1.2,6.8,1.33,1.33,15.1,15,165,1.2,0.87,1.13,0.07,0.13,3.2,0.13,2.07,2.0,1.04,0.94,0.73,1.67,1.77,10.3,3.33,32.5,10.27,3.33,0.11,0.34,17.8,0.09,0.16,0.19,16.8,16.8,11.1,2.67,0.67,0.93,1.07,0.33,2.27,2.27,1.47,0.33,0.07,0.13,0.2,0.07,1.73,6.33,4.47,72.6,0.27,0.2,0.53,0.13,13.3,0.13,0.13,0.0,15.9,9.07,8.27,5.4,2.27,6.73,12.7,52.9,6.0,11.7,3.8,7.93,8.73,24.7,24.9,0.2,90,100,82,6.93,4.07,21,4.73,1.0,1.2,1.73,-0.53,-0.53,1.04,1.75,-0.71,-0.71,41.9,468.9,73.8,189.9,179.3,104.8,17.5,468.8,4.27,12.3,34.6,14.9,8.07,215.2,18.5,220.5,353.7,62.3,4570.0,2209.9,80.3,109.7,73.2,97.3,134.2,72.5,36.5,85.1,42.8,0.13,6.87,20.0,6.33,1.4,19.5
Bayern Munich,15.0,0.87,0.13,0.0,0.07,0.0,1.14,0.28,0.27,0.27,3.2,7.0,45.7,36.5,6.8,17.4,26.6,5.8,11.5,23.7,9.13,0.4,4.4,1.8,1.8,19.1,15,165,3.2,2.2,3.13,0.07,0.2,1.33,0.07,5.4,5.33,2.35,2.19,1.71,3.91,4.06,20.3,8.47,41.8,20.27,8.47,0.15,0.37,17.2,0.11,0.85,0.94,34.9,34.87,26.1,2.2,1.93,3.0,0.93,0.73,5.2,5.2,3.8,0.07,0.4,0.67,0.13,0.13,0.87,3.47,2.53,78.8,0.67,0.27,0.07,0.4,40.0,0.2,0.07,0.0,17.9,11.3,7.33,7.93,2.67,7.87,13.5,58.4,5.6,8.6,1.8,6.8,8.6,26.5,13.8,0.53,90,100,81,6.47,4.53,23,3.87,2.27,3.27,0.87,2.4,2.4,2.35,0.98,1.37,1.37,66.1,766.9,67.7,225.1,344.7,204.7,35.9,766.7,10.1,22.3,45.4,18.6,10.1,552.3,44.6,559.4,654.3,85.5,9568.4,3450.9,259.7,287.1,90.4,238.3,264.9,90.0,48.8,73.8,66.1,0.49,15.0,45.0,13.7,1.27,45.4
Bochum,15.0,2.4,0.33,0.0,0.33,0.13,2.28,0.29,0.01,0.01,15.7,33.9,46.4,44.1,2.67,64.8,44.8,7.8,68.4,51.3,14.5,0.87,6.0,3.8,3.8,22.4,15,165,0.8,0.67,0.8,0.0,0.0,1.53,0.0,1.47,1.47,0.93,0.93,0.7,1.63,1.63,11.3,3.6,32.0,11.27,3.6,0.07,0.22,19.0,0.08,-0.13,-0.13,19.5,19.47,14.1,2.53,0.53,0.67,1.2,0.47,1.47,1.47,1.0,0.33,0.07,0.07,0.0,0.0,2.4,6.53,4.07,68.4,0.27,0.07,0.67,0.13,13.3,0.67,0.2,0.13,18.9,12.0,9.93,6.8,2.13,8.6,15.2,56.6,6.6,12.5,3.53,8.93,9.33,28.2,19.8,0.4,90,100,82,6.4,4.6,20,4.2,0.87,0.93,2.4,-1.47,-1.47,0.93,2.07,-1.13,-1.13,45.5,512.6,66.4,187.5,220.8,108.3,16.5,512.6,4.07,11.1,36.7,13.5,8.33,272.7,22.7,279.3,405.3,68.9,5669.7,2551.7,112.6,138.9,81.0,112.4,146.9,76.5,47.8,95.0,50.3,-0.03,8.53,23.9,7.0,2.2,23.9
Dortmund,15.0,1.4,0.0,0.0,0.2,0.0,1.23,0.29,-0.17,-0.17,3.07,8.13,37.7,34.7,4.8,16.1,27.3,6.93,36.5,37.1,11.9,0.67,5.6,2.07,2.07,18.7,15,165,1.6,1.2,1.53,0.07,0.07,2.33,0.0,2.8,2.73,1.64,1.59,1.21,2.79,2.85,14.1,5.33,37.9,14.07,5.33,0.11,0.29,16.5,0.12,-0.04,-0.05,24.7,24.67,18.5,2.0,1.27,1.53,1.0,0.4,2.8,2.8,2.07,0.07,0.27,0.13,0.13,0.13,1.4,4.4,3.0,68.2,0.53,0.07,0.4,0.4,40.0,0.0,0.0,0.0,19.2,10.7,8.0,8.4,2.8,9.47,16.1,58.9,6.6,11.3,2.87,8.47,9.8,29.0,14.8,0.27,90,100,80,6.67,4.4,25,4.4,1.67,1.67,1.4,0.27,0.27,1.64,1.27,0.37,0.37,56.7,675.8,62.2,211.5,312.4,158.6,24.3,675.7,8.53,21.0,40.6,16.8,11.0,450.6,34.7,457.6,562.2,81.4,8202.4,2933.9,197.1,224.5,87.8,189.6,215.7,87.9,54.6,86.7,63.0,-0.01,10.3,34.3,9.0,1.93,35.5
Eint Frankfurt,15.0,1.6,0.07,0.07,0.33,0.07,1.23,0.32,-0.31,-0.31,2.47,10.7,23.0,19.3,4.47,41.2,35.7,6.73,41.6,39.8,13.0,0.6,4.6,0.6,0.6,13.1,15,165,2.13,1.2,1.93,0.2,0.2,1.47,0.07,3.33,3.13,1.67,1.52,1.1,2.61,2.77,12.5,4.67,37.4,12.47,4.67,0.16,0.41,18.0,0.12,0.46,0.41,21.9,21.93,15.5,1.67,1.87,1.27,1.33,0.33,3.47,3.47,2.2,0.13,0.47,0.33,0.33,0.0,1.6,3.73,2.2,58.9,0.53,0.2,0.27,0.13,13.3,0.07,0.0,0.0,16.4,10.6,7.4,7.27,1.73,8.13,15.1,54.0,6.93,11.7,2.53,9.13,8.67,25.1,21.5,0.2,90,100,82,6.6,4.4,20,4.6,1.8,2.13,1.6,0.53,0.53,1.67,1.21,0.47,0.47,51.0,618.1,59.3,202.6,292.6,130.5,25.5,617.9,8.8,20.9,42.0,16.1,9.6,379.3,27.8,383.9,501.8,76.5,6563.4,2440.1,174.2,202.5,86.0,166.3,197.6,84.1,32.5,69.3,46.9,0.1,8.33,25.5,6.53,1.53,28.3
Freiburg,15.0,1.13,0.2,0.0,0.07,0.0,1.29,0.27,0.16,0.16,8.0,18.3,43.8,34.8,3.27,38.9,37.0,6.73,70.3,55.6,11.6,0.8,6.9,1.6,1.6,16.0,15,165,1.67,1.07,1.4,0.27,0.33,1.53,0.0,2.73,2.47,1.55,1.27,0.89,2.16,2.43,12.9,5.07,39.4,12.87,5.07,0.11,0.28,17.3,0.11,0.12,0.13,21.9,21.93,15.1,2.67,0.67,1.8,1.47,0.27,2.8,2.8,1.87,0.27,0.07,0.27,0.33,0.0,1.13,4.27,3.13,78.1,0.6,0.2,0.2,0.53,53.3,0.27,0.0,0.07,13.9,7.53,5.27,6.6,2.07,6.33,12.5,50.5,6.2,10.6,2.73,7.87,8.87,22.8,15.1,0.33,90,100,83,6.2,4.8,17,4.2,2.0,1.67,1.13,0.53,0.53,1.55,1.27,0.27,0.27,49.8,564.3,61.1,177.7,258.9,132.5,22.4,564.0,5.93,13.7,43.2,12.9,6.6,348.7,24.0,357.1,467.8,76.3,6863.7,2528.3,138.0,164.5,83.9,158.9,189.8,83.7,48.3,83.5,57.8,0.18,8.93,27.5,7.33,1.8,24.5
Hertha BSC,15.0,1.47,0.07,0.07,0.2,0.0,1.34,0.3,-0.13,-0.13,6.93,16.1,43.2,30.7,5.33,38.0,34.6,7.33,60.0,48.7,14.8,1.27,8.6,2.4,2.4,17.9,15,165,1.27,0.8,1.07,0.2,0.2,2.53,0.07,2.07,1.87,1.17,1.01,0.81,1.82,1.98,11.8,4.0,33.9,11.8,4.0,0.09,0.27,18.6,0.09,0.09,0.05,20.3,20.33,14.0,2.2,1.67,0.93,1.13,0.4,2.0,2.0,1.6,0.07,0.13,0.07,0.13,0.0,1.47,4.07,2.53,65.6,0.2,0.33,0.47,0.13,13.3,0.13,0.07,0.0,17.3,9.93,9.07,6.93,1.27,7.53,13.8,54.6,6.27,12.3,4.13,8.13,11.3,28.5,21.9,0.27,90,100,81,6.53,4.4,21,4.6,0.93,1.27,1.47,-0.2,-0.2,1.17,1.56,-0.39,-0.39,42.9,508.9,59.6,181.7,228.9,106.3,17.7,508.7,8.27,20.9,39.5,16.8,9.8,272.8,22.9,277.2,387.1,71.6,5211.2,2336.0,114.3,139.8,81.8,119.6,151.1,79.1,35.3,70.8,49.8,-0.01,7.73,22.7,4.73,1.2,23.5
Hoffenheim,15.0,1.47,0.07,0.07,0.2,0.07,1.41,0.31,0.01,0.01,4.8,11.7,40.9,38.3,5.4,27.5,30.0,6.87,17.5,25.0,11.9,1.33,11.2,1.4,1.4,14.1,15,165,1.47,1.13,1.33,0.13,0.27,2.4,0.13,2.6,2.47,1.57,1.37,1.11,2.49,2.69,13.1,4.6,35.0,13.13,4.6,0.1,0.29,17.0,0.11,-0.11,-0.04,23.7,23.73,17.5,1.8,1.33,1.27,1.27,0.6,2.53,2.53,1.73,0.13,0.2,0.33,0.07,0.07,1.47,4.47,3.07,68.7,0.33,0.2,0.47,0.27,26.7,0.07,0.0,0.0,14.6,9.07,6.67,6.73,1.2,5.33,11.0,48.5,5.67,12.6,3.2,9.4,9.0,23.6,15.2,0.2,90,100,80,6.2,4.67,22,4.33,1.2,1.47,1.47,0.0,0.0,1.57,1.39,0.19,0.19,50.7,587.9,65.2,209.7,261.2,122.8,22.9,587.7,6.47,15.7,41.1,15.1,8.4,369.5,30.8,376.3,483.0,77.9,7020.3,2763.5,152.3,177.1,86.0,172.1,202.5,85.0,43.9,77.0,57.0,0.02,10.1,30.5,8.2,2.8,31.6
Köln,15.0,1.93,0.13,0.2,0.07,0.2,1.36,0.29,-0.37,-0.37,3.67,10.4,35.3,37.1,3.33,23.6,30.2,5.8,28.7,33.6,13.0,0.53,4.1,0.47,0.47,11.6,15,165,1.27,0.73,1.13,0.13,0.13,2.07,0.2,2.0,1.87,1.48,1.37,1.05,2.43,2.53,12.8,4.07,31.8,12.8,4.07,0.09,0.28,16.5,0.11,-0.21,-0.24,22.1,22.07,16.9,2.4,0.8,1.07,0.8,0.13,2.33,2.33,1.67,0.07,0.27,0.13,0.2,0.0,1.93,4.07,2.27,55.7,0.27,0.33,0.4,0.07,6.7,0.2,0.07,0.0,18.1,10.7,8.67,7.4,2.07,9.4,17.5,53.8,8.07,10.3,2.4,7.87,9.93,28.1,20.5,0.07,90,100,79,6.13,4.73,23,4.13,1.13,1.4,1.93,-0.53,-0.53,1.48,1.35,0.13,0.13,51.7,584.3,64.8,209.8,243.5,136.7,21.5,584.1,5.6,14.4,38.9,15.6,7.4,353.2,26.6,359.2,475.5,75.5,6894.3,2534.5,129.1,151.7,85.1,180.1,213.7,84.3,43.8,83.1,52.7,-0.32,9.6,26.1,7.6,2.53,27.5
Leverkusen,15.0,1.73,0.2,0.0,0.2,0.07,1.58,0.31,-0.09,-0.09,3.87,11.2,34.5,28.9,4.93,29.1,31.2,6.07,46.2,40.1,10.7,0.67,6.3,0.87,0.87,14.4,15,165,1.67,1.27,1.67,0.0,0.07,2.13,0.27,2.93,2.93,1.46,1.41,1.19,2.6,2.65,11.8,4.87,41.2,11.8,4.87,0.14,0.34,17.2,0.12,0.21,0.26,21.3,21.27,16.1,1.47,1.33,1.2,1.0,0.13,2.8,2.8,1.93,0.2,0.33,0.13,0.2,0.0,1.73,4.53,2.87,66.2,0.33,0.2,0.4,0.27,26.7,0.2,0.0,0.0,15.1,8.07,7.53,6.4,1.13,7.47,12.3,60.9,4.8,10.0,3.07,6.93,8.27,23.3,16.5,0.47,90,100,80,5.8,4.93,22,4.0,1.2,1.67,1.73,-0.07,-0.07,1.46,1.44,0.02,0.02,52.2,621.4,63.8,202.3,305.1,119.6,18.5,621.3,7.13,17.0,42.0,14.5,9.87,416.9,26.7,423.0,523.7,80.8,7152.6,2550.6,204.4,232.7,87.9,170.3,195.3,87.2,36.9,69.6,53.0,0.07,9.6,26.4,6.6,1.6,27.1
