Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
Almería,15.0,1.53,0.13,0.07,0.13,0.0,1.64,0.27,0.11,0.1,4.2,13.3,31.5,27.9,6.07,34.7,36.2,8.53,43.0,38.8,17.5,0.93,5.3,1.07,1.07,14.3,15,165,1.13,0.8,1.13,0.0,0.0,3.13,0.2,1.93,1.93,1.07,1.07,0.77,1.84,1.84,11.3,4.2,37.3,11.27,4.2,0.1,0.27,18.2,0.1,0.07,0.07,19.1,19.13,14.2,1.6,0.93,1.13,0.8,0.47,1.47,1.47,0.93,0.2,0.13,0.13,0.07,0.0,1.53,5.47,3.87,74.4,0.33,0.13,0.53,0.07,6.7,0.27,0.07,0.07,13.8,7.93,7.07,5.13,1.6,5.93,13.0,45.6,7.07,11.3,3.87,7.47,8.87,22.7,21.5,0.13,90,100,81,6.0,4.87,20,6.67,1.13,1.13,1.53,-0.4,-0.4,1.07,1.53,-0.46,-0.46,45.5,523.3,74.2,206.7,222.5,100.3,16.9,523.3,6.6,15.9,41.6,14.5,6.8,321.4,21.7,326.0,418.6,77.9,6111.8,2348.7,134.0,152.7,87.7,143.3,166.5,86.0,40.8,76.1,53.6,0.03,8.13,22.6,6.13,1.93,22.4
Athletic Club,15.0,0.93,0.0,0.0,0.0,0.0,0.77,0.26,-0.17,-0.17,3.33,9.53,35.0,24.4,6.07,25.1,31.2,6.07,56.0,44.9,12.3,0.6,4.9,1.67,1.67,19.1,15,165,1.53,1.13,1.4,0.13,0.2,1.8,0.07,2.67,2.53,1.47,1.31,1.05,2.36,2.52,15.2,4.4,28.9,15.2,4.4,0.09,0.32,17.7,0.09,0.07,0.09,25.7,25.73,19.1,2.6,1.0,1.4,1.4,0.27,2.53,2.53,1.8,0.13,0.2,0.13,0.2,0.07,0.93,3.07,2.13,69.6,0.47,0.27,0.27,0.47,46.7,0.0,0.0,0.0,14.2,8.47,6.4,5.53,2.27,7.2,13.9,51.9,6.67,9.33,2.33,7.0,9.0,23.2,15.2,0.33,90,100,82,6.33,4.73,20,6.87,1.67,1.6,0.93,0.67,0.67,1.47,0.68,0.79,0.79,52.0,593.8,52.8,158.3,264.3,177.5,25.6,593.6,6.47,16.2,39.9,14.1,10.1,379.7,33.5,385.7,491.5,78.5,6824.3,2497.1,178.1,201.9,88.2,159.2,190.7,83.5,39.9,71.5,55.9,0.09,11.3,39.5,9.67,2.8,34.4
Atlético Madrid,15.0,0.93,0.07,0.07,0.07,0.0,1.03,0.3,0.1,0.1,3.33,13.7,24.4,20.9,4.0,41.9,36.4,7.6,64.9,49.7,14.3,1.07,7.5,0.67,0.67,13.7,15,165,1.47,1.2,1.47,0.0,0.0,3.07,0.2,2.67,2.67,1.33,1.33,1.05,2.38,2.38,14.0,5.13,36.7,14.0,5.13,0.1,0.29,18.0,0.1,0.13,0.13,24.7,24.67,19.9,1.47,0.93,1.27,0.8,0.33,2.4,2.4,1.93,0.07,0.07,0.2,0.0,0.13,0.93,3.27,2.33,73.5,0.47,0.13,0.27,0.33,33.3,0.07,0.0,0.0,19.2,11.6,9.8,7.67,1.73,9.47,15.8,59.9,6.33,10.1,3.2,6.93,9.13,28.3,18.2,0.13,90,100,80,6.2,4.67,24,5.47,1.8,1.53,0.93,0.6,0.6,1.33,1.1,0.23,0.23,50.6,625.6,60.9,193.1,300.5,136.8,21.3,625.5,7.0,14.9,47.1,13.3,7.8,420.5,27.3,425.1,520.7,81.6,7018.0,2495.5,214.3,233.9,91.6,156.9,184.1,85.3,37.0,69.8,53.0,0.15,10.7,29.8,8.0,2.07,28.3
Barcelona,15.0,0.4,0.13,0.0,0.07,0.0,0.59,0.22,0.19,0.19,3.93,7.87,50.0,32.1,4.07,19.3,27.5,4.87,34.2,36.3,8.47,0.6,7.1,0.87,0.87,15.2,15,165,2.27,1.6,2.27,0.0,0.07,2.73,0.27,3.87,3.87,2.31,2.27,1.65,3.92,3.97,17.1,6.07,35.5,17.07,6.07,0.13,0.37,15.1,0.14,-0.05,0.0,31.7,31.67,24.7,1.93,2.0,1.93,0.6,0.47,4.07,4.07,3.33,0.0,0.27,0.47,0.0,0.0,0.4,2.2,1.8,87.9,0.8,0.13,0.07,0.73,73.3,0.13,0.0,0.0,13.9,9.13,5.0,6.27,2.6,6.27,11.4,55.0,5.13,9.6,1.93,7.67,7.4,21.3,9.8,0.4,90,100,79,6.0,4.8,24,6.27,2.53,2.27,0.4,1.87,1.87,2.31,0.72,1.6,1.6,65.1,753.7,50.6,171.3,372.8,215.5,34.7,753.6,9.4,20.7,45.5,14.7,7.87,568.2,37.7,574.9,658.4,87.3,9867.9,2980.3,279.5,302.3,92.5,226.1,246.6,91.7,57.2,79.9,71.6,-0.05,13.5,50.7,13.1,2.6,38.2
Betis,15.0,0.8,0.07,0.07,0.07,0.0,1.02,0.26,0.22,0.22,5.8,16.3,35.5,26.3,3.8,40.6,35.1,8.4,67.5,49.5,13.7,0.6,4.4,1.73,1.73,16.7,15,165,1.07,0.6,0.87,0.2,0.2,2.27,0.53,1.67,1.47,1.27,1.11,0.81,1.91,2.07,10.2,3.53,34.6,10.2,3.53,0.08,0.25,17.5,0.11,-0.2,-0.24,18.7,18.67,13.9,1.47,1.2,0.93,1.07,0.13,1.8,1.8,1.33,0.07,0.2,0.0,0.2,0.0,0.8,3.73,2.93,80.4,0.47,0.27,0.27,0.47,46.7,0.07,0.0,0.0,16.9,10.5,10.0,5.73,1.13,8.27,15.5,53.4,7.2,9.87,3.2,6.67,8.8,25.7,19.5,0.27,90,100,80,6.47,4.07,23,6.67,1.67,1.13,0.8,0.33,0.33,1.27,1.13,0.13,0.13,50.3,578.8,63.1,192.5,262.2,129.7,17.5,578.6,7.0,16.9,41.3,14.9,9.8,380.2,22.6,386.3,477.9,80.8,6513.5,2439.5,185.9,206.5,90.1,146.3,168.7,86.7,38.0,70.6,53.8,-0.21,7.6,25.0,5.6,1.2,23.3
Cádiz,16.0,1.69,0.25,0.06,0.25,0.0,1.54,0.21,-0.15,-0.15,6.69,20.9,32.0,23.8,5.0,57.5,44.7,8.25,87.1,63.7,18.0,1.25,6.9,0.25,0.25,8.4,16,176,0.63,0.5,0.63,0.0,0.0,3.0,0.31,1.13,1.13,0.74,0.74,0.47,1.21,1.21,8.81,2.56,29.1,8.81,2.56,0.07,0.24,18.5,0.09,-0.12,-0.12,14.9,14.94,10.7,1.31,0.69,0.81,1.06,0.38,1.13,1.13,1.0,0.0,0.0,0.06,0.06,0.0,1.69,5.94,4.19,75.8,0.19,0.38,0.44,0.31,31.3,0.31,0.06,0.0,15.3,10.0,9.19,4.38,1.75,7.94,15.2,52.3,7.25,11.3,3.38,7.88,6.19,21.5,23.1,0.25,90,100,78,5.75,5.0,26,6.5,0.94,0.69,1.69,-1.0,-1.0,0.74,1.8,-1.06,-1.06,40.3,468.1,64.6,178.1,198.4,96.4,12.7,468.1,4.63,13.4,34.6,14.3,10.6,257.2,14.7,262.3,362.9,72.3,5005.3,2029.6,112.5,132.8,84.7,101.8,125.4,81.2,38.9,81.5,47.7,0.03,5.88,20.1,3.88,1.75,15.1
Celta Vigo,16.0,1.69,0.13,0.06,0.25,0.06,1.23,0.24,-0.4,-0.4,5.19,14.1,36.9,25.4,3.81,40.8,35.5,7.25,50.9,42.9,13.9,0.75,5.4,1.38,1.38,17.9,16,176,1.0,0.81,0.94,0.06,0.13,2.13,0.19,1.81,1.75,1.11,1.02,0.77,1.78,1.88,12.4,3.88,31.3,12.38,3.87,0.08,0.24,19.5,0.08,-0.11,-0.08,21.6,21.56,16.5,1.56,0.81,1.25,1.0,0.44,1.69,1.69,1.31,0.06,0.13,0.13,0.0,0.06,1.69,4.25,2.5,63.2,0.25,0.25,0.5,0.31,31.3,0.25,0.13,0.0,17.8,10.7,8.44,7.38,2.0,6.75,14.3,47.4,7.5,10.6,2.44,8.13,9.25,27.1,17.6,0.13,90,100,82,7.13,3.75,21,6.75,1.0,1.0,1.69,-0.69,-0.69,1.11,1.16,-0.05,-0.05,50.5,605.7,57.0,191.3,278.9,141.4,18.1,605.6,6.13,15.8,38.9,15.3,8.88,395.5,24.3,400.6,499.1,80.3,7211.3,2405.1,172.6,195.0,88.5,175.3,201.7,86.9,42.4,76.9,55.1,0.04,9.31,29.9,6.69,1.94,24.9
Elche,16.0,2.13,0.19,0.0,0.19,0.06,2.46,0.35,0.39,0.39,6.19,12.9,47.8,22.8,4.5,37.5,35.3,7.5,58.3,43.8,15.1,0.5,3.3,0.25,0.25,10.6,16,176,0.63,0.56,0.56,0.06,0.13,3.13,0.38,1.19,1.13,0.74,0.64,0.51,1.15,1.25,8.06,2.63,32.6,8.06,2.62,0.07,0.21,17.9,0.08,-0.11,-0.07,14.8,14.81,11.1,1.88,0.5,0.38,0.75,0.25,1.13,1.13,0.75,0.19,0.0,0.06,0.06,0.06,2.12,6.44,4.25,69.9,0.0,0.25,0.75,0.0,0.0,0.31,0.13,0.0,15.6,8.75,9.0,5.19,1.38,6.5,12.7,51.2,6.19,10.2,3.38,6.81,8.31,23.9,19.4,0.44,90,100,78,6.13,4.69,25,6.38,0.25,0.63,2.13,-1.5,-1.5,0.74,2.08,-1.34,-1.34,43.9,518.9,64.9,188.2,231.9,104.4,12.6,518.8,5.44,14.1,38.5,15.9,10.2,318.6,20.1,323.9,416.7,77.7,5833.8,2279.0,145.1,165.4,87.7,129.3,151.0,85.6,38.3,71.6,53.4,0.05,6.5,24.1,4.88,1.75,20.4
Espanyol,15.0,1.53,0.0,0.07,0.33,0.07,1.29,0.29,-0.18,-0.18,8.67,17.7,48.9,19.9,2.93,56.9,43.2,8.93,71.6,51.2,14.5,0.47,3.2,1.2,1.2,15.3,15,165,1.13,0.6,0.93,0.2,0.2,2.33,0.33,1.73,1.53,1.11,0.95,0.78,1.73,1.89,10.7,3.2,30.0,10.67,3.2,0.09,0.29,18.7,0.09,0.02,-0.02,17.9,17.93,12.2,1.67,1.07,1.33,1.13,0.53,1.87,1.87,1.4,0.07,0.07,0.13,0.13,0.07,1.53,4.47,3.0,65.7,0.13,0.47,0.33,0.13,13.3,0.0,0.0,0.0,18.0,9.87,8.8,6.33,2.87,7.87,12.5,62.8,4.67,10.1,3.47,6.6,10.3,28.3,21.3,0.47,90,100,82,6.47,4.33,19,5.93,0.87,1.13,1.53,-0.4,-0.4,1.11,1.31,-0.19,-0.2,41.2,486.0,55.4,152.8,220.6,117.0,17.3,485.8,4.67,12.3,38.0,14.0,6.8,272.5,21.5,276.9,377.3,73.4,5502.3,2245.5,107.5,128.7,83.5,119.6,145.1,82.4,42.7,83.1,51.3,-0.18,8.0,24.3,6.07,1.67,22.0
Getafe,15.0,1.33,0.07,0.0,0.2,0.07,1.2,0.21,-0.07,-0.07,9.27,20.8,44.6,20.0,3.4,67.0,46.9,8.53,86.7,57.6,16.0,0.87,5.4,1.0,1.0,14.8,15,165,0.93,0.53,0.93,0.0,0.13,3.07,0.4,1.47,1.47,0.73,0.63,0.52,1.15,1.25,9.2,2.8,30.4,9.2,2.8,0.1,0.33,18.5,0.07,0.2,0.3,15.2,15.2,10.1,1.93,0.27,0.8,1.87,0.2,1.47,1.47,1.07,0.13,0.0,0.07,0.13,0.07,1.33,4.73,3.33,73.2,0.27,0.33,0.4,0.4,40.0,0.2,0.13,0.0,13.6,7.53,7.6,4.4,1.6,6.73,13.8,48.8,7.07,9.8,3.6,6.2,7.53,21.1,21.7,0.47,90,100,82,6.8,4.07,22,7.13,1.13,0.93,1.33,-0.4,-0.4,0.73,1.16,-0.43,-0.43,40.1,473.1,53.0,154.8,227.1,95.7,13.3,473.0,4.0,10.7,37.5,11.4,6.6,271.7,18.7,275.9,379.6,72.7,5271.5,2207.9,117.5,138.9,84.6,108.3,135.7,79.8,39.8,79.8,49.9,0.01,6.27,22.5,4.6,1.93,19.5
