Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
Ajaccio,17.0,1.53,0.12,0.06,0.24,0.0,1.33,0.29,-0.2,-0.2,5.47,15.6,35.0,19.5,2.47,53.3,38.7,6.71,78.1,50.3,12.3,0.65,5.3,1.71,1.71,16.9,17,187,0.82,0.35,0.53,0.29,0.47,2.35,0.24,1.18,0.88,1.23,0.89,0.61,1.5,1.84,9.53,2.41,25.3,9.53,2.41,0.06,0.22,17.8,0.1,-0.41,-0.36,17.0,17.0,10.9,2.41,0.53,1.12,1.82,0.24,1.41,1.41,0.82,0.0,0.12,0.24,0.24,0.0,1.53,4.18,2.65,66.2,0.18,0.18,0.59,0.18,17.6,0.18,0.0,0.06,16.5,9.88,7.65,6.24,2.65,7.41,14.5,51.0,7.12,7.94,2.0,5.94,10.8,27.3,16.4,0.24,90,100,80,5.94,4.82,21,4.12,0.88,0.88,1.53,-0.65,-0.65,1.23,1.31,-0.08,-0.08,45.5,517.4,47.5,150.6,254.5,117.8,15.3,517.0,6.24,15.3,40.8,17.2,7.88,304.6,23.9,309.1,418.6,73.8,5640.2,2208.0,132.6,159.4,83.2,123.1,153.5,80.2,39.4,78.6,50.1,-0.26,7.12,29.0,5.71,2.24,24.6
Angers,17.0,2.18,0.24,0.0,0.35,0.18,1.81,0.29,-0.19,-0.19,3.18,10.9,29.2,21.4,5.76,35.3,33.4,7.24,46.3,40.3,13.4,1.18,8.8,0.71,0.71,12.0,17,187,0.88,0.59,0.76,0.12,0.12,1.94,0.18,1.47,1.35,1.31,1.22,0.9,2.12,2.21,10.8,3.71,34.2,10.82,3.71,0.07,0.21,16.6,0.12,-0.43,-0.46,18.9,18.88,14.2,1.06,1.24,1.0,1.18,0.18,1.41,1.41,0.88,0.18,0.0,0.12,0.24,0.0,2.18,5.41,3.35,64.1,0.12,0.12,0.76,0.12,11.8,0.29,0.06,0.0,17.9,10.2,8.65,7.65,1.59,8.12,14.4,56.3,6.29,10.7,2.47,8.24,8.88,26.8,14.8,0.41,90,100,82,6.82,4.0,20,5.0,0.47,0.94,2.18,-1.24,-1.24,1.31,1.57,-0.26,-0.26,47.1,560.8,55.8,177.2,274.9,116.8,17.7,560.6,9.94,23.6,42.0,15.6,8.59,360.2,28.4,365.0,455.4,80.2,6514.9,2445.2,153.6,177.4,86.6,161.3,187.6,86.0,37.1,66.4,55.9,-0.31,8.18,29.4,6.0,1.71,29.1
Auxerre,17.0,2.06,0.06,0.0,0.18,0.0,1.72,0.34,-0.34,-0.34,7.12,15.4,46.4,24.4,4.0,40.7,36.4,7.24,74.8,51.7,14.2,0.18,1.2,0.65,0.65,13.5,17,187,0.82,0.59,0.65,0.18,0.18,1.35,0.29,1.41,1.24,1.01,0.88,0.7,1.58,1.71,10.7,3.18,29.7,10.71,3.18,0.06,0.2,20.1,0.08,-0.19,-0.23,18.4,18.35,13.8,1.59,0.88,1.0,1.0,0.12,1.41,1.41,0.76,0.12,0.12,0.18,0.24,0.0,2.06,5.12,3.06,60.9,0.18,0.24,0.59,0.12,11.8,0.06,0.0,0.0,18.0,10.0,9.12,6.88,2.0,8.53,18.1,47.1,9.59,11.1,3.0,8.12,13.5,31.5,21.5,0.35,90,100,82,6.76,4.0,19,5.0,0.76,0.94,2.06,-1.12,-1.12,1.01,1.57,-0.55,-0.56,44.9,560.2,67.1,193.6,253.1,118.8,15.4,560.1,8.24,18.6,44.3,15.6,7.35,353.6,23.9,357.9,449.5,79.6,7050.1,2534.4,137.9,159.8,86.3,148.1,171.8,86.2,57.8,92.5,62.4,-0.11,7.71,28.1,6.53,2.29,24.5
Brest,17.0,1.94,0.24,0.0,0.24,0.06,1.81,0.28,-0.07,-0.07,4.24,10.7,39.6,19.5,3.88,38.4,35.8,7.29,44.4,39.5,11.5,0.65,5.6,0.71,0.71,11.9,17,187,1.06,0.53,0.82,0.24,0.29,1.94,0.06,1.59,1.35,1.21,0.97,0.81,1.79,2.02,10.9,3.71,33.9,10.94,3.71,0.08,0.22,17.8,0.09,-0.15,-0.15,19.5,19.47,14.1,2.35,0.53,1.06,1.06,0.35,1.76,1.76,0.88,0.29,0.12,0.12,0.29,0.06,1.94,5.18,3.18,67.0,0.18,0.24,0.59,0.06,5.9,0.35,0.12,0.0,18.0,10.7,8.35,7.94,1.71,9.53,18.9,50.5,9.35,10.5,2.35,8.18,12.6,30.6,15.3,0.35,90,100,82,6.59,4.35,21,4.35,0.76,1.06,1.94,-0.88,-0.88,1.21,1.56,-0.35,-0.35,47.5,560.4,53.5,166.6,272.8,128.1,19.2,560.1,5.29,15.6,33.8,15.2,9.06,346.2,27.3,351.4,456.6,76.9,6728.6,2458.8,141.0,166.4,84.7,150.5,178.3,84.4,48.8,86.5,56.4,-0.28,8.29,30.8,6.88,2.94,28.0
Clermont Foot,17.0,1.47,0.35,0.0,0.18,0.0,1.79,0.28,0.32,0.32,6.41,16.1,39.9,29.1,5.24,43.0,38.2,7.29,48.4,42.3,13.0,0.94,7.2,0.71,0.71,10.9,17,187,1.12,0.71,1.0,0.12,0.24,2.41,0.12,1.82,1.71,1.05,0.88,0.65,1.52,1.7,10.2,3.29,32.4,10.18,3.29,0.1,0.3,18.3,0.09,0.06,0.12,17.8,17.76,13.6,1.59,0.59,1.0,0.88,0.06,1.76,1.76,1.0,0.24,0.18,0.29,0.06,0.0,1.47,4.94,3.35,77.4,0.35,0.24,0.41,0.24,23.5,0.47,0.12,0.0,17.9,10.1,8.71,6.65,2.53,8.94,18.0,49.7,9.06,11.2,3.53,7.71,11.8,29.6,15.6,0.35,90,100,82,6.29,4.59,19,4.29,1.29,1.18,1.47,-0.29,-0.29,1.05,1.78,-0.73,-0.73,49.2,583.5,63.4,197.9,275.7,116.5,17.5,583.2,6.94,17.7,39.2,14.7,9.41,375.3,26.9,379.8,478.1,79.4,6859.9,2599.4,161.6,186.4,86.7,160.6,188.4,85.3,42.9,75.9,56.6,0.06,7.24,29.4,6.29,1.82,27.6
Lens,17.0,0.65,0.12,0.0,0.18,0.06,0.88,0.24,0.29,0.29,4.94,11.8,41.8,30.5,4.47,35.1,32.9,4.0,27.9,28.2,10.4,0.88,8.5,1.18,1.18,15.0,17,187,1.71,1.35,1.59,0.12,0.29,1.88,0.06,3.06,2.94,1.77,1.54,1.27,2.81,3.04,13.5,4.18,30.9,13.53,4.18,0.12,0.38,16.8,0.12,-0.06,0.05,24.0,24.0,18.1,1.82,1.47,1.0,0.94,0.71,3.0,3.0,2.06,0.29,0.29,0.12,0.06,0.18,0.65,3.24,2.65,83.6,0.71,0.24,0.06,0.47,47.1,0.12,0.0,0.0,14.2,8.24,6.29,6.12,1.82,6.82,14.1,48.3,7.29,10.1,2.76,7.35,10.2,24.5,14.2,0.06,90,100,83,6.53,4.47,18,4.53,2.35,1.71,0.65,1.06,1.06,1.77,1.08,0.69,0.69,56.3,653.7,53.8,175.6,342.1,142.6,22.0,653.4,7.82,16.6,47.0,15.6,8.29,464.9,35.3,471.2,558.1,84.4,8170.8,2812.2,212.0,235.3,90.1,199.9,226.9,88.1,43.6,69.6,62.7,0.08,10.4,39.0,9.41,2.35,35.8
Lille,17.0,1.41,0.18,0.06,0.18,0.06,1.11,0.27,-0.24,-0.24,1.76,9.35,18.9,26.3,4.29,29.3,30.6,3.18,51.9,40.9,11.2,0.94,8.4,0.82,0.82,12.4,17,187,1.76,1.12,1.59,0.18,0.24,2.18,0.06,2.88,2.71,1.79,1.6,1.26,2.86,3.05,14.4,5.18,35.9,14.41,5.18,0.11,0.31,16.8,0.12,-0.02,-0.01,26.3,26.29,20.4,1.76,0.88,1.53,1.12,0.59,3.0,3.0,2.24,0.12,0.06,0.29,0.29,0.0,1.41,3.29,2.0,62.5,0.53,0.18,0.29,0.24,23.5,0.24,0.06,0.0,18.6,11.1,7.47,8.06,3.06,8.76,16.0,54.8,7.24,11.4,2.53,8.88,8.06,26.6,16.2,0.41,90,100,84,7.29,3.71,18,5.29,1.76,1.76,1.41,0.35,0.35,1.79,1.16,0.62,0.62,57.6,680.4,59.8,193.2,331.5,161.6,24.8,680.2,7.94,20.3,39.1,14.1,10.6,472.6,34.6,478.9,574.8,83.3,8000.0,2745.6,228.5,255.6,89.4,194.4,220.4,88.2,39.8,67.1,59.2,-0.15,10.9,38.2,9.76,1.35,35.4
Lorient,17.0,1.41,0.0,0.06,0.24,0.06,1.32,0.27,-0.03,-0.03,4.41,12.2,36.2,24.5,4.24,32.1,31.4,7.88,54.5,40.6,20.7,0.94,4.5,0.65,0.65,10.6,17,187,1.47,1.0,1.35,0.12,0.18,1.24,0.06,2.47,2.35,1.29,1.15,0.89,2.04,2.18,11.6,4.41,38.1,11.59,4.41,0.12,0.31,18.0,0.1,0.18,0.21,20.4,20.41,14.4,1.41,1.71,1.06,1.47,0.41,2.76,2.76,1.71,0.18,0.41,0.12,0.29,0.06,1.41,5.0,3.65,71.8,0.53,0.24,0.18,0.18,17.6,0.0,0.0,0.0,20.2,11.9,11.4,6.53,2.29,9.24,18.2,50.6,9.0,12.0,3.41,8.59,10.9,31.1,21.9,0.41,90,100,83,7.29,3.65,21,5.35,1.82,1.65,1.41,0.24,0.24,1.29,1.56,-0.28,-0.28,44.6,560.9,73.8,208.8,244.9,114.3,19.3,560.8,8.88,21.6,41.1,15.8,8.35,352.2,25.3,357.4,446.0,80.1,6137.9,2329.1,160.1,184.2,86.9,150.9,174.6,86.4,31.8,61.4,51.9,0.11,9.0,26.4,6.18,1.06,25.8
Lyon,17.0,1.24,0.29,0.12,0.18,0.0,1.26,0.25,0.02,0.02,2.88,7.59,38.0,23.9,4.82,25.9,30.3,6.41,22.0,27.5,10.9,0.71,6.5,0.82,0.83,14.8,17,187,1.59,1.06,1.41,0.18,0.18,1.47,0.12,2.65,2.47,1.59,1.45,1.16,2.62,2.75,13.6,5.41,39.7,13.65,5.41,0.1,0.26,17.1,0.11,0.0,-0.04,24.5,24.47,19.1,1.41,1.59,1.18,0.82,0.41,2.71,2.71,2.0,0.12,0.18,0.24,0.12,0.06,1.24,3.88,2.65,75.8,0.35,0.18,0.41,0.12,11.8,0.29,0.0,0.0,19.2,11.2,7.47,7.65,4.12,10.1,18.0,55.9,7.94,10.1,2.59,7.53,13.0,32.2,12.5,0.29,90,100,82,6.65,4.24,21,4.41,1.41,1.59,1.24,0.35,0.35,1.59,1.26,0.32,0.33,58.9,711.6,54.6,178.6,363.9,175.8,25.2,711.5,9.71,23.6,41.1,15.9,9.47,498.9,37.8,504.9,604.2,83.6,8852.6,3028.3,218.1,247.2,88.2,224.8,253.8,88.6,45.6,73.2,62.3,-0.1,10.5,44.9,9.94,2.47,38.4
Marseille,17.0,0.88,0.24,0.0,0.06,0.12,0.96,0.2,0.2,0.2,3.82,10.9,35.1,29.2,5.29,26.4,31.4,6.53,48.6,38.8,12.2,0.59,4.8,1.0,1.0,15.2,17,187,1.76,1.29,1.65,0.12,0.18,1.82,0.18,3.06,2.94,1.66,1.52,1.24,2.76,2.9,13.4,4.71,35.1,13.41,4.71,0.12,0.35,16.4,0.11,0.1,0.12,23.7,23.71,18.3,1.47,1.29,1.35,0.76,0.53,3.06,3.06,1.76,0.35,0.24,0.41,0.24,0.06,0.88,3.76,3.0,82.8,0.65,0.18,0.18,0.29,29.4,0.24,0.0,0.0,17.8,11.0,7.59,8.06,2.18,8.06,14.2,56.8,6.12,10.1,2.76,7.29,11.9,29.7,15.9,0.29,90,100,80,6.0,4.94,23,4.06,2.12,2.0,0.88,1.12,1.12,1.66,1.23,0.44,0.43,54.8,639.6,59.4,189.2,296.6,160.4,25.5,639.5,7.18,18.6,38.6,16.4,9.59,429.4,34.6,434.5,533.8,81.4,7686.1,2613.5,188.0,215.2,87.3,186.1,215.3,86.4,43.9,71.5,61.4,0.05,10.2,36.7,11.3,1.94,35.1
