Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
Atalanta,16.0,1.06,0.0,0.06,0.19,0.06,0.97,0.28,-0.03,-0.03,6.06,13.5,44.9,26.6,7.06,30.3,32.0,7.88,69.0,50.2,12.6,0.63,5.0,1.38,1.38,18.4,16,176,1.44,1.0,1.13,0.31,0.38,2.88,0.06,2.44,2.12,1.64,1.35,1.2,2.55,2.84,12.4,3.88,31.2,12.44,3.87,0.09,0.29,17.2,0.11,-0.21,-0.23,23.3,23.25,17.5,2.06,0.88,1.31,1.13,0.38,2.63,2.62,1.75,0.19,0.0,0.31,0.38,0.0,1.06,3.5,2.5,69.6,0.44,0.25,0.25,0.38,37.5,0.0,0.0,0.0,17.8,10.0,7.94,7.81,2.06,9.13,16.4,55.7,7.25,10.9,2.44,8.5,11.1,28.9,16.6,0.31,90,100,80,6.06,4.88,24,5.5,1.75,1.5,1.06,0.44,0.44,1.64,1.07,0.57,0.57,47.6,574.0,63.9,198.6,235.4,146.1,23.8,573.6,5.69,15.9,35.8,16.3,10.3,350.6,30.3,355.1,463.5,76.6,6458.9,2576.5,158.8,184.9,85.9,143.3,173.3,82.7,43.1,78.5,54.9,-0.2,10.6,26.2,10.6,2.19,30.8
Bologna,16.0,1.63,0.25,0.06,0.25,0.13,1.49,0.27,-0.01,-0.01,4.5,11.3,40.0,29.3,6.0,29.9,31.7,7.06,35.4,32.2,14.1,0.75,5.3,0.88,0.88,14.1,16,176,1.25,0.94,1.06,0.19,0.19,2.63,0.13,2.19,2.0,1.1,0.95,0.79,1.74,1.89,11.1,3.31,29.9,11.06,3.31,0.1,0.32,19.2,0.09,0.15,0.11,20.2,20.19,15.4,1.81,0.81,0.94,1.06,0.13,2.19,2.19,1.63,0.13,0.06,0.19,0.19,0.0,1.62,4.69,3.19,70.7,0.31,0.25,0.44,0.13,12.5,0.25,0.0,0.0,16.3,9.88,8.38,5.88,2.06,6.75,12.6,53.7,5.81,11.4,4.13,7.25,8.56,24.9,18.1,0.31,90,100,80,6.31,4.56,23,7.75,1.19,1.25,1.63,-0.38,-0.37,1.1,1.38,-0.28,-0.28,51.7,583.1,69.3,215.1,260.4,112.6,13.7,582.9,4.44,11.5,38.6,15.8,7.75,375.9,21.4,381.4,482.7,79.0,6797.1,2519.9,169.5,192.3,88.1,156.9,183.0,85.8,42.1,76.1,55.3,0.15,8.88,25.3,5.69,1.88,21.8
Cremonese,16.0,1.69,0.19,0.06,0.25,0.0,1.98,0.3,0.29,0.3,4.25,15.0,28.3,26.5,4.5,43.6,38.8,6.81,50.5,45.9,11.5,0.69,6.0,0.63,0.63,12.2,16,176,0.69,0.31,0.63,0.06,0.19,2.25,0.06,1.0,0.94,1.1,0.95,0.64,1.59,1.74,13.8,3.13,22.7,13.75,3.12,0.05,0.2,18.3,0.07,-0.41,-0.33,23.1,23.06,15.8,2.19,0.88,2.13,1.38,0.69,1.0,1.0,0.63,0.0,0.0,0.31,0.06,0.0,1.69,6.13,4.44,75.5,0.0,0.44,0.56,0.19,18.8,0.19,0.0,0.0,20.9,11.0,11.8,6.69,2.38,10.6,17.6,59.9,7.06,12.0,3.75,8.25,10.7,31.6,18.1,0.44,90,100,79,5.94,5.0,23,9.44,0.44,0.69,1.69,-1.0,-1.0,1.1,1.81,-0.71,-0.71,43.8,504.3,63.0,181.9,201.1,127.4,21.8,504.1,4.44,12.8,34.8,14.3,8.25,274.3,22.5,279.6,392.2,71.3,5026.6,2126.7,127.1,150.9,84.3,115.4,147.3,78.4,30.1,69.4,43.4,-0.33,9.19,26.7,8.75,3.19,23.3
Empoli,16.0,1.25,0.06,0.0,0.19,0.0,1.36,0.29,0.11,0.11,4.75,15.6,30.5,35.8,6.13,36.0,34.8,5.56,48.3,42.6,21.2,1.5,7.1,0.5,0.5,10.7,16,176,0.81,0.38,0.81,0.0,0.0,2.5,0.25,1.19,1.19,0.93,0.93,0.63,1.56,1.56,11.9,3.38,28.4,11.87,3.38,0.07,0.24,19.0,0.08,-0.12,-0.12,20.6,20.62,14.9,2.0,0.88,1.25,1.25,0.31,1.38,1.37,1.06,0.06,0.06,0.13,0.06,0.0,1.25,4.38,3.06,72.9,0.25,0.38,0.38,0.31,31.3,0.19,0.06,0.06,18.5,10.6,10.2,5.94,2.38,7.88,12.9,61.2,5.0,11.6,5.5,6.13,7.75,26.3,24.3,0.13,90,100,79,5.94,4.88,23,9.0,1.13,0.81,1.25,-0.44,-0.44,0.93,1.68,-0.75,-0.75,45.8,529.1,81.9,213.3,206.0,115.9,16.3,529.1,5.31,15.3,34.8,15.1,10.3,311.4,19.9,317.3,415.3,76.4,5606.8,2273.8,141.4,163.5,86.5,132.4,158.5,83.5,33.3,65.9,50.5,-0.25,8.69,18.9,6.44,2.38,20.4
Fiorentina,16.0,1.31,0.06,0.0,0.13,0.06,1.09,0.32,-0.16,-0.16,4.31,11.8,36.5,29.2,4.13,32.1,33.6,5.81,41.9,39.8,9.5,0.44,4.6,1.75,1.75,17.6,16,176,1.19,1.06,1.13,0.06,0.19,2.38,0.06,2.25,2.19,1.41,1.26,1.06,2.32,2.47,15.9,4.69,29.4,15.94,4.69,0.07,0.24,17.7,0.08,-0.22,-0.14,28.8,28.75,21.1,2.94,1.25,1.94,1.31,0.25,2.13,2.12,1.69,0.25,0.06,0.06,0.06,0.0,1.31,3.19,1.94,60.8,0.31,0.31,0.38,0.25,25.0,0.06,0.0,0.0,16.8,8.94,6.81,7.19,2.75,8.25,13.4,61.7,5.13,9.25,2.44,6.81,7.88,24.6,12.9,0.31,90,100,80,6.0,4.94,22,8.31,1.25,1.19,1.31,-0.13,-0.12,1.41,1.17,0.24,0.24,57.8,624.2,50.8,169.2,279.6,181.4,27.8,624.0,6.0,16.1,37.4,17.1,9.13,416.9,32.6,422.6,521.7,81.0,8189.8,2707.4,167.4,186.8,89.6,188.3,216.9,86.8,59.0,93.8,62.9,0.0,13.1,35.2,10.4,3.13,33.5
Hellas Verona,16.0,1.88,0.0,0.0,0.13,0.06,1.39,0.25,-0.42,-0.42,8.31,17.8,46.7,22.9,3.06,58.7,43.0,8.25,53.0,42.3,13.5,0.44,3.2,2.5,2.5,17.8,16,176,0.75,0.56,0.75,0.0,0.0,2.81,0.19,1.31,1.31,1.07,1.07,0.88,1.96,1.95,11.8,3.06,26.1,11.75,3.06,0.06,0.24,18.3,0.09,-0.32,-0.32,19.8,19.75,13.4,2.81,0.94,1.31,0.75,0.5,1.31,1.31,0.88,0.06,0.19,0.19,0.0,0.0,1.87,5.44,3.56,65.5,0.06,0.19,0.75,0.0,0.0,0.06,0.06,0.0,14.3,7.69,7.06,5.38,1.88,6.38,11.4,55.7,5.06,11.7,3.88,7.81,8.63,22.9,18.6,0.31,90,100,79,6.13,4.75,25,8.06,0.38,0.81,1.88,-1.06,-1.06,1.07,1.4,-0.33,-0.33,43.3,467.8,58.1,156.6,198.8,119.3,18.9,467.8,4.94,14.8,33.5,15.7,8.75,241.8,23.5,247.9,362.2,68.4,4824.2,2234.3,100.2,129.1,77.6,103.2,133.0,77.6,36.4,74.3,48.9,-0.32,8.81,23.5,6.75,2.31,24.3
Inter,16.0,1.38,0.13,0.0,0.19,0.06,1.13,0.25,-0.18,-0.18,4.13,9.63,42.9,32.8,5.38,24.4,28.4,6.94,23.4,32.0,11.9,0.5,4.2,0.44,0.44,14.0,16,176,2.13,1.5,2.0,0.13,0.13,1.88,0.0,3.62,3.5,1.81,1.73,1.37,3.09,3.18,15.0,5.19,34.6,15.0,5.19,0.13,0.39,16.7,0.12,0.31,0.28,25.9,25.94,18.8,2.94,0.56,1.69,1.63,0.31,3.81,3.81,2.75,0.19,0.25,0.25,0.31,0.06,1.37,4.0,2.69,68.8,0.69,0.0,0.31,0.31,31.3,0.13,0.0,0.0,13.8,7.81,5.56,6.44,1.81,5.81,10.5,55.4,4.69,10.4,2.81,7.63,8.19,22.0,14.3,0.31,90,100,81,6.13,4.88,19,7.13,2.06,2.19,1.38,0.81,0.81,1.81,0.97,0.84,0.84,53.4,618.8,69.4,210.4,274.9,139.6,23.7,618.6,3.94,12.1,32.6,14.1,6.81,424.3,29.3,431.2,523.4,82.4,7830.6,2725.6,183.1,204.2,89.7,192.5,218.4,88.1,45.1,75.9,59.3,0.13,11.2,30.1,9.0,2.69,29.7
Juventus,16.0,0.44,0.06,0.0,0.13,0.0,0.85,0.24,0.41,0.41,3.94,10.9,36.0,26.0,4.69,32.7,33.6,5.69,42.9,39.0,13.8,0.38,2.7,0.94,0.94,15.8,16,176,1.56,1.19,1.5,0.06,0.13,2.0,0.25,2.75,2.69,1.37,1.27,1.06,2.33,2.43,13.4,4.63,34.6,13.37,4.62,0.11,0.32,17.3,0.1,0.19,0.23,23.1,23.06,16.4,2.19,1.0,2.0,0.88,0.56,2.38,2.37,1.69,0.13,0.0,0.25,0.25,0.06,0.44,3.0,2.5,87.5,0.56,0.25,0.13,0.69,68.8,0.13,0.06,0.0,15.4,8.63,7.44,6.0,1.94,7.31,11.8,62.2,4.44,10.8,3.81,7.0,9.25,24.6,17.9,0.31,90,100,81,6.63,4.25,22,5.88,2.13,1.56,0.44,1.13,1.13,1.37,1.09,0.29,0.29,50.2,596.6,67.6,204.0,273.1,124.6,19.3,596.4,5.13,12.8,40.2,16.3,8.44,396.6,25.9,401.8,491.8,81.7,7689.4,2618.1,158.1,178.4,88.6,182.9,206.7,88.5,53.6,85.8,62.5,0.13,10.5,28.6,7.44,2.69,26.4
Lazio,16.0,0.81,0.06,0.0,0.19,0.0,0.84,0.25,0.03,0.03,4.31,11.1,39.0,31.1,4.63,28.3,32.7,6.25,36.0,35.7,14.1,0.31,2.2,1.94,1.94,17.9,16,176,1.63,1.31,1.56,0.06,0.13,2.06,0.06,2.94,2.87,1.19,1.1,0.89,1.99,2.08,10.4,4.38,42.2,10.37,4.37,0.15,0.36,17.4,0.11,0.43,0.46,18.2,18.19,13.9,1.63,1.06,0.88,0.75,0.0,2.88,2.87,2.5,0.06,0.06,0.25,0.0,0.0,0.81,3.25,2.44,76.9,0.5,0.19,0.25,0.56,56.3,0.06,0.0,0.0,15.1,8.69,6.75,6.25,2.13,7.38,13.6,54.1,6.25,10.6,3.25,7.31,8.25,23.4,18.1,0.13,90,100,80,6.44,4.5,23,7.75,1.88,1.69,0.81,0.88,0.87,1.19,1.16,0.04,0.04,51.1,634.6,71.8,216.9,297.8,125.4,20.8,634.4,5.5,13.7,40.2,15.0,8.44,438.1,23.5,443.0,534.4,82.9,7221.9,2632.7,231.9,257.1,90.2,151.3,175.8,86.1,43.6,70.8,61.6,0.42,7.94,26.3,7.31,0.75,24.0
Lecce,16.0,1.13,0.19,0.06,0.25,0.06,1.19,0.23,0.13,0.13,4.81,18.5,26.0,25.3,4.25,51.2,40.0,7.5,74.2,50.8,15.5,0.75,4.8,1.19,1.19,12.6,16,176,1.0,0.63,0.94,0.06,0.13,2.56,0.13,1.62,1.56,0.78,0.68,0.51,1.19,1.29,9.06,2.63,29.0,9.06,2.62,0.1,0.36,19.1,0.08,0.22,0.26,15.2,15.19,10.7,1.31,1.25,0.63,1.13,0.19,1.56,1.56,1.19,0.06,0.13,0.13,0.06,0.0,1.13,4.31,3.25,78.3,0.25,0.38,0.38,0.06,6.3,0.19,0.0,0.0,18.1,10.0,9.5,6.13,2.5,7.31,13.6,53.7,6.31,12.8,3.38,9.44,10.8,28.9,23.3,0.06,90,100,80,5.88,5.0,21,9.06,1.13,1.0,1.13,-0.13,-0.12,0.78,1.21,-0.43,-0.43,40.9,486.4,62.1,180.5,201.9,110.3,13.7,486.3,5.19,13.2,39.3,16.7,8.94,255.6,19.9,260.8,370.6,70.4,4940.3,1948.0,107.0,131.6,81.3,108.4,136.8,79.3,37.1,77.6,47.9,0.12,6.38,23.8,4.56,1.38,20.5
