Teams,xGF,acGF,xGA,acGA,Attack Strength,Defensive Strength,SPI
Bayern Munich,2.4871691924605512,3.2,1.323368412559359,0.87,1.4483668420093567,0.7520544975822324,92.6
RB Leipzig,1.9281439388446986,2.0,1.6683907275296317,1.4,1.1228266079000464,0.948126567368006,81.0
Dortmund,1.7548947036976665,1.6,1.6692499658476896,1.4,1.0219374330296387,0.9486148622641648,76.6
Eint Frankfurt,1.9729363013653034,2.13,1.7658051759924054,1.6,1.1489107894051755,1.003486037490341,74.1
Leverkusen,1.7740031103559253,1.67,1.8290229859445533,1.73,1.0330649360122859,1.0394119654863585,73.4
Freiburg,1.7780044699602808,1.67,1.514000311922541,1.13,1.0353950696402965,0.8603883341300304,73.0
Wolfsburg,1.686601758825266,1.47,1.6266594126243479,1.33,0.982168028842663,0.924411158441294,70.1
Mainz 05,1.5848182289054946,1.27,1.7709617800834407,1.6,0.9228958690533958,1.0064164741413217,69.4
Hoffenheim,1.687710826573552,1.47,1.7014656665945052,1.47,0.9828138783317242,0.9669226610671827,68.3
M'Gladbach,1.8525012214837375,1.87,1.7702150959805458,1.6,1.0787771704925673,1.0059921424642724,67.7
Union Berlin,1.7502784672416474,1.53,1.6258988862880213,1.33,1.0192492348008892,0.9239789603879506,67.3
Köln,1.6054226815340316,1.27,1.9285397481350537,1.93,0.9348945726700976,1.0959661554457856,66.2
Stuttgart,1.5355056656960533,1.2,1.867158853387551,1.8,0.8941794143531883,1.061084124469086,65.5
Werder Bremen,1.7595953589516224,1.6,1.8665929030159538,1.8,1.0246747913188075,1.0607625016176347,63.4
Hertha BSC,1.5578969075368116,1.27,1.7107233004750295,1.47,0.9072186287065485,0.9721836640734077,63.1
Augsburg,1.542378927070218,1.2,1.843483018463583,1.73,0.8981819582496714,1.047629429639134,57.2
Schalke 04,1.3096489105517044,0.8,2.025237117363762,2.13,0.7626550145710895,1.1509181179852102,56.1
Bochum,1.3425075410308966,0.8,2.16730278872127,2.4,0.7817897606125593,1.2316523459465873,54.6
