Teams,xGF,acGF,xGA,acGA,Attack Strength,Defensive Strength,SPI
Barcelona,1.921670514316668,2.27,0.9609313564721467,0.4,1.4173236989613187,0.6834446965933072,88.0
Real Madrid,1.9315555631151087,2.33,1.2501129609832238,0.93,1.4246143941263019,0.889119776945592,85.3
Athletic Club,1.5354095284854767,1.53,1.2525819100874407,0.93,1.1324377910368892,0.8908757714399654,76.3
Atlético Madrid,1.5056353736610868,1.47,1.2505016373410642,0.93,1.1104779311468824,0.8893962158334149,75.4
Real Sociedad,1.4336682075745202,1.33,1.3643196380333833,1.13,1.0573987121644093,0.9703471687043899,74.0
Villarreal,1.2653826136778576,1.07,1.1530736515951352,0.73,0.9332800567307361,0.820102358671461,73.4
Valencia,1.4876339353174033,1.44,1.3553411696222573,1.13,1.0972010114096993,0.9639613987138645,69.8
Betis,1.3077309893436313,1.07,1.1879706197673088,0.8,0.9645140044842411,0.8449221833798753,69.6
Osasuna,1.286803075248095,1.07,1.3347471116606877,1.07,0.9490786692400107,0.9493142549815142,69.6
Celta Vigo,1.2229097869049605,1.0,1.6175435976293795,1.69,0.9019543203474041,1.1504480375860247,68.6
Sevilla,1.169485123600101,0.93,1.5498375983126957,1.53,0.8625510819426497,1.1022933948543938,67.4
Rayo Vallecano,1.4600463595605955,1.4,1.4032664751159267,1.2,1.0768538579170943,0.9980473879488426,67.1
Mallorca,1.1333178063984806,0.87,1.2961408538880754,1.0,0.8358759597425592,0.9218562664870251,65.3
Girona,1.4878371853958958,1.4,1.5758080174861602,1.6,1.0973509180408918,1.1207643762963693,64.1
Getafe,1.1807789982662664,0.93,1.4668741484339975,1.33,0.8708808534087781,1.0432871719345318,63.8
Espanyol,1.3077494858116305,1.13,1.5470720796872917,1.53,0.9645276465119701,1.100326470760251,62.4
Almería,1.290344918604535,1.13,1.5545328316927876,1.53,0.951690947718393,1.1056327929615308,59.2
Cádiz,1.0190528091553956,0.63,1.613940096773092,1.69,0.7516000719939446,1.1478851140922584,56.9
Valladolid,1.157779082942813,0.87,1.5498016407664352,1.53,0.8539173183911084,1.1022678207130894,56.8
Elche,1.0120982525929536,0.63,1.835840021431456,2.13,0.7464707546847174,1.305707341102299,50.5
