Teams,xGF,acGF,xGA,acGA,Attack Strength,Defensive Strength,SPI
Paris S-G,1.9794025355645077,2.65,1.2044075863621861,0.76,1.3762863888158172,0.7538025751566746,85.8
Marseille,1.6645625437332199,1.76,1.2531278226321048,0.88,1.1573769009138486,0.78429510939372,75.3
Lille,1.6006243302265413,1.76,1.5647471312965995,1.41,1.1129204089202454,0.9793282858695784,72.5
Rennes,1.7059048071685339,1.94,1.3518755309765123,1.06,1.1861223397149732,0.8460983375398191,71.9
Lyon,1.525550933023183,1.59,1.4944262057424913,1.24,1.0607215797903842,0.935316528246734,71.5
Lens,1.6206101773327146,1.71,1.1459608129681147,0.65,1.1268166472280012,0.7172224931371639,71.3
Monaco,1.7005888064189152,1.94,1.5454030150346352,1.35,1.1824261034299428,0.9672213838394762,69.7
Nice,1.2001088278885148,0.94,1.43860316206683,1.12,0.8344404006987992,0.9003785599440809,63.1
Strasbourg,1.287827420805503,1.06,1.795090747576986,1.82,0.8954314842750848,1.1234934448150664,61.4
Reims,1.312636373425286,1.18,1.5474812440598802,1.35,0.9126812468665256,0.9685220850379191,59.5
Toulouse,1.4017639103213801,1.29,1.860491398621668,1.94,0.9746519747476997,1.164425750234454,54.4
Lorient,1.4874281213284732,1.47,1.5676658843086642,1.41,1.0342146384805138,0.9811550458150102,54.2
Nantes,1.2339992831810813,1.0,1.5701297789974187,1.41,0.8580045679118256,0.9826971235819792,54.0
Ajaccio,1.1574355085069257,0.82,1.634972309656479,1.53,0.8047694734491674,1.023280118196044,53.4
Clermont Foot,1.325549833769642,1.12,1.614447088929592,1.47,0.9216600267686043,1.0104339983153827,53.2
Montpellier,1.4990581456621845,1.59,1.7931449242944928,1.82,1.0423010402631196,1.1222756123987385,53.1
Brest,1.2482341671938229,1.06,1.8589759405365496,1.94,0.8679021389016095,1.1634772704838783,52.7
Troyes,1.4899934225803082,1.59,1.8482584066742653,1.94,1.035998302557263,1.1567694875736756,52.4
Angers,1.1852342302413441,0.88,1.9553003921926237,2.18,0.8240980342962654,1.2237638549683008,52.0
Auxerre,1.1378855381589914,0.82,1.9110085751222696,2.06,0.7911763019703094,1.1960429354523048,48.2
