Teams,xGF,acGF,xGA,acGA,Attack Strength,Defensive Strength,SPI
Manchester City,1.9034165946842876,2.48,1.3798578628550777,1.0,1.354930838846568,0.8918710549964128,90.3
Arsenal,1.7854456914613952,2.15,1.2721368683393932,0.85,1.2709542594105812,0.8222455960196597,85.8
Liverpool,1.5456721432903155,1.5,1.5603867730781955,1.4,1.1002735079324504,1.0085559063512477,82.0
Newcastle Utd,1.5267879347564375,1.57,1.1361846842268184,0.57,1.086830945447066,0.7343729091744616,81.5
Chelsea,1.2963782357320803,1.05,1.3844073985100953,1.0,0.9228157699729659,0.8948116471208717,80.8
Manchester Utd,1.5391616049170043,1.55,1.5068207116179337,1.27,1.0956390368218543,0.9739334854247063,79.9
Brighton,1.5960082303999528,1.7,1.5381115115993955,1.35,1.1361048214358545,0.9941582922996728,79.7
Tottenham,1.6194940967975497,1.77,1.5606107240825726,1.41,1.1528230347518482,1.0087006570708095,79.3
West Ham,1.1692800110271138,0.86,1.4955767809360385,1.24,0.8323419847299757,0.9666659714368386,73.3
Brentford,1.545990521797183,1.62,1.5314183037781892,1.33,1.1005001429521224,0.9898321377865855,72.6
Aston Villa,1.339337306415933,1.14,1.6174810323180275,1.48,0.9533958173678958,1.0454587777217141,72.2
Leicester City,1.471511524212072,1.43,1.7369802166133468,1.76,1.047482904920117,1.1226970690252516,68.5
Fulham,1.4304998352262703,1.32,1.5450816806809526,1.36,1.0182890845471977,0.9986634607084023,68.0
Leeds United,1.3845690614889798,1.24,1.7128272304350594,1.71,0.9855936557259201,1.1070857877157612,67.2
Crystal Palace,1.2043845285307109,0.86,1.5508291730426487,1.38,0.8573308355581583,1.002378352085405,66.5
Wolves,1.0801677754744876,0.67,1.5760844592380745,1.43,0.7689082012870823,1.0187021049513307,65.1
Everton,1.1345789962248085,0.71,1.5354140166768162,1.33,0.8076403638519076,0.992414766602417,60.5
Southampton,1.187854197400535,0.81,1.7535686369485894,1.81,0.8455638605894779,1.133418993611386,60.2
Nott'ham Forest,1.1286262125548,0.76,1.6982931525734353,1.67,0.8034029256610239,1.0976916872762956,58.8
Bournemouth,1.2069794499390694,0.9,1.8509189181843206,2.05,0.8591780081899337,1.1963413426207694,54.8
