Teams,xGF,acGF,xGA,acGA,Attack Strength,Defensive Strength,SPI
Napoli,1.9578003470035437,2.31,1.324530286450025,0.81,1.3607104073144587,0.8377986746715828,80.8
Inter,1.8808848962257647,2.13,1.6375897760719211,1.38,1.3072526303165177,1.0358166650352048,80.7
Milan,1.7354457032496342,1.81,1.433888496849121,1.0,1.2061694816609727,0.9069704895210392,78.2
Juventus,1.604124748180278,1.56,1.1142449160048586,0.44,1.1148987907885168,0.7047878960853353,72.9
Roma,1.429977134749176,1.19,1.3672510686793162,0.88,0.9938627155996679,0.8648206424580354,72.7
Atalanta,1.5502931566200335,1.44,1.4512890979813484,1.06,1.0774847577435052,0.9179768067915496,70.9
Fiorentina,1.4242741101863792,1.19,1.5998406840396064,1.31,0.989898999438495,1.0119394161732762,69.9
Lazio,1.647963332810916,1.63,1.3195771591111274,0.81,1.1453674841055566,0.8346656972210406,67.9
Udinese,1.5928811589072949,1.5,1.505535329968255,1.13,1.107084271313774,0.9522889110367192,65.2
Torino,1.370472958455826,1.06,1.5047474816472228,1.13,0.952506122684073,0.9517905771851226,62.9
Sassuolo,1.313883619226351,1.0,1.722026402326334,1.5,0.9131753998397096,1.0892249519527393,60.2
Bologna,1.4499209295851478,1.25,1.7737529995474985,1.63,1.00772405198986,1.1219433239224068,57.5
Hellas Verona,1.1926689623604405,0.75,1.8833788712214634,1.88,0.8289287883969562,1.1912844412511197,56.9
Monza,1.366570177291047,1.06,1.6766322253774772,1.44,0.9497936116987147,1.0605119948579718,56.2
Lecce,1.2999141944913246,1.0,1.5069395869002455,1.13,0.9034663701880196,0.9531771388172052,54.0
Sampdoria,0.9783649217765321,0.5,1.8228633116853745,1.75,0.679983193000381,1.153006829863139,50.1
Cremonese,1.082567240803679,0.69,1.807641580381396,1.69,0.7524058893103248,1.1433787024861053,50.0
Spezia,1.2585849761732433,0.88,1.8233549576810808,1.75,0.8747417366585298,1.1533178083041942,48.8
Empoli,1.2087871199892397,0.81,1.5685204681525287,1.25,0.8401312303956051,0.992128592948577,48.2
Salernitana,1.4307704240826988,1.19,1.7756930260569062,1.63,0.9944140675563615,1.1231704394176407,46.4
