90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
34.0,1.56,0.21,0.03,0.18,0.06,1.67,0.28,0.17,0.17,12.3,27.0,45.6,43.2,2.76,49.4,34.2,9.62,58.7,47.0,16.4,0.35,2.1,1.41,1.41,18.6,34,374,0.76,0.53,0.71,0.06,0.06,1.62,0.06,1.29,1.24,0.96,0.91,0.64,1.55,1.6,10.6,3.21,30.2,10.62,3.21,0.07,0.22,19.7,0.09,-0.19,-0.2,17.2,17.24,12.1,1.53,1.18,1.15,1.0,0.29,1.24,1.24,0.94,0.06,0.03,0.12,0.09,0.0,1.56,5.29,3.79,74.4,0.15,0.38,0.47,0.21,20.6,0.21,0.0,0.0,16.1,9.15,7.94,6.91,1.29,7.0,16.0,43.8,8.97,11.6,3.24,8.38,12.4,28.5,22.6,0.21,90,100,82.0,6.59,4.41,21,4.35,0.82,0.79,1.56,-0.76,-0.76,0.96,2.08,-1.12,-1.12,40.7,515.7,67.7,198.9,213.2,109.9,16.2,515.6,8.35,16.7,50.0,18.2,9.0,270.8,20.1,275.9,397.3,69.4,5354.9,2432.4,110.7,139.4,79.4,118.6,151.7,78.2,38.4,79.7,48.1,-0.11,7.26,22.4,5.74,1.62,20.7
34.0,1.65,0.15,0.03,0.06,0.06,1.54,0.31,-0.05,-0.05,6.85,17.0,40.2,28.0,4.26,41.9,36.5,8.44,63.1,47.7,15.6,0.71,4.5,1.5,1.5,16.7,34,374,1.15,0.76,1.0,0.15,0.15,2.18,0.0,1.91,1.76,1.2,1.08,0.79,1.87,1.98,10.6,3.44,32.3,10.65,3.44,0.09,0.29,17.8,0.1,-0.05,-0.08,17.9,17.85,12.7,2.06,0.71,1.03,0.85,0.47,1.74,1.74,1.09,0.24,0.06,0.24,0.12,0.0,1.65,4.59,3.0,67.3,0.29,0.24,0.47,0.26,26.5,0.15,0.0,0.0,16.5,9.85,7.47,6.91,2.09,7.32,17.2,42.6,9.85,11.7,3.41,8.26,10.7,27.1,22.6,0.35,90,100,80.0,6.03,4.97,23,4.0,1.12,1.15,1.65,-0.5,-0.5,1.2,1.9,-0.7,-0.7,41.5,498.5,65.7,190.4,205.5,108.9,17.7,498.3,7.71,15.0,51.3,17.6,8.76,265.5,19.3,270.0,383.4,70.4,5331.0,2233.4,105.5,130.9,80.6,114.5,145.1,78.9,42.8,83.1,51.5,-0.02,7.76,19.3,6.41,2.5,20.0
34.0,1.09,0.06,0.03,0.06,0.03,0.96,0.27,-0.1,-0.1,3.56,7.53,47.3,37.8,5.71,18.3,27.2,6.0,10.3,24.3,9.29,0.35,3.8,3.09,3.09,25.3,34,374,2.71,2.06,2.56,0.15,0.15,1.06,0.06,4.76,4.62,2.81,2.69,2.1,4.79,4.9,19.6,7.5,38.2,19.65,7.5,0.13,0.34,16.7,0.14,-0.1,-0.14,34.4,34.38,25.7,2.71,1.88,2.47,1.06,0.53,4.71,4.71,3.59,0.38,0.26,0.29,0.15,0.03,1.09,3.29,2.24,68.8,0.71,0.12,0.15,0.32,32.4,0.06,0.0,0.0,16.6,9.94,6.79,6.97,2.79,7.62,16.4,46.3,8.82,9.94,2.0,7.94,10.3,26.8,11.9,0.53,90,100,82.0,6.59,4.38,21,4.5,2.26,2.85,1.09,1.76,1.76,2.81,1.16,1.65,1.65,64.5,809.5,60.2,215.9,386.7,214.4,36.9,809.4,14.5,24.5,59.3,17.6,9.94,584.4,49.2,590.8,699.4,84.5,10084.6,3653.5,274.8,305.7,89.9,249.2,279.9,89.0,51.4,78.7,65.3,-0.04,15.2,49.3,14.7,2.09,50.2
34.0,1.53,0.15,0.03,0.15,0.12,1.5,0.27,0.09,0.08,14.7,32.5,45.2,44.2,3.29,61.0,34.7,8.12,68.5,48.4,13.8,0.82,6.0,2.15,2.15,19.0,34,374,1.09,0.65,0.97,0.12,0.18,1.62,0.06,1.74,1.62,1.4,1.26,0.93,2.19,2.32,12.0,4.0,33.3,12.03,4.0,0.08,0.24,18.8,0.11,-0.31,-0.29,20.2,20.18,13.6,2.32,0.85,1.26,1.71,0.41,1.76,1.76,1.12,0.15,0.12,0.15,0.18,0.06,1.53,5.18,3.71,73.3,0.35,0.18,0.47,0.21,20.6,0.24,0.06,0.03,17.2,10.4,8.82,6.24,2.18,8.32,17.2,48.4,8.88,12.6,3.56,9.06,12.6,29.9,18.4,0.38,90,100,82.0,6.82,4.12,20,4.56,1.24,1.12,1.53,-0.41,-0.41,1.4,1.77,-0.37,-0.37,44.7,525.5,71.0,199.8,219.8,112.7,17.2,525.3,6.85,13.6,50.5,18.1,8.41,282.7,21.1,289.0,411.1,70.3,6016.2,2541.6,103.7,129.1,80.3,125.1,156.9,79.8,53.0,100.4,52.8,-0.28,8.32,23.1,5.44,2.06,21.7
34.0,1.53,0.18,0.06,0.18,0.06,1.38,0.31,-0.09,-0.09,2.74,8.21,33.3,29.5,5.18,20.3,27.5,6.41,34.4,34.4,11.8,0.59,5.0,1.85,1.85,17.1,34,374,2.38,1.68,2.06,0.32,0.32,1.85,0.03,4.06,3.74,2.0,1.76,1.4,3.16,3.4,13.0,4.85,37.3,13.0,4.85,0.16,0.42,16.7,0.14,0.38,0.3,23.4,23.35,16.8,2.09,1.5,1.5,1.26,0.24,4.09,4.09,2.82,0.21,0.35,0.35,0.29,0.06,1.53,4.0,2.53,66.2,0.62,0.09,0.26,0.21,20.6,0.18,0.0,0.0,15.9,9.47,6.82,6.94,2.15,7.5,16.2,46.4,8.68,10.3,2.41,7.91,10.2,26.1,15.3,0.32,90,100,83.0,6.79,4.18,19,4.35,2.03,2.5,1.53,0.97,0.97,2.0,1.5,0.5,0.5,59.2,725.8,64.0,221.2,355.8,154.2,24.3,725.4,10.4,18.7,55.3,17.0,9.12,506.4,34.0,512.1,619.2,82.7,8599.4,2999.0,235.6,264.6,89.0,210.8,240.3,87.7,44.0,72.2,60.9,0.27,9.74,32.1,8.85,1.41,34.6
34.0,1.44,0.12,0.0,0.09,0.03,1.54,0.3,0.13,0.13,4.76,16.4,29.1,31.1,4.62,40.7,34.3,7.79,47.9,42.3,13.5,0.68,5.0,1.35,1.35,16.2,34,374,1.26,0.97,1.24,0.03,0.06,1.79,0.03,2.24,2.21,1.43,1.39,1.11,2.49,2.54,13.1,4.0,30.5,13.12,4.0,0.09,0.31,17.8,0.11,-0.17,-0.15,22.4,22.41,15.5,2.59,1.06,1.79,1.12,0.32,2.21,2.21,1.5,0.24,0.12,0.24,0.12,0.0,1.44,4.85,3.44,72.7,0.29,0.35,0.35,0.15,14.7,0.12,0.0,0.0,17.5,9.71,7.65,7.41,2.44,8.32,19.8,42.1,11.5,12.8,2.79,10.0,11.1,28.6,17.4,0.35,90,100,82.0,6.82,4.24,21,4.71,1.24,1.32,1.44,-0.12,-0.12,1.43,1.55,-0.12,-0.12,49.6,615.2,67.4,206.5,285.1,129.9,19.5,615.1,8.38,16.0,52.4,18.6,8.65,365.9,27.5,371.4,500.7,74.2,6751.9,2607.7,157.2,187.6,83.8,166.5,201.8,82.5,38.6,81.9,47.2,-0.14,9.74,26.7,6.56,2.29,28.2
34.0,1.35,0.06,0.03,0.15,0.03,1.26,0.27,-0.07,-0.07,7.85,20.1,39.0,33.9,3.71,41.7,37.5,7.76,76.9,59.4,14.6,0.53,3.6,1.06,1.06,14.9,34,374,1.62,1.09,1.47,0.15,0.18,1.0,0.0,2.71,2.56,1.62,1.48,1.11,2.59,2.72,13.4,4.5,33.5,13.44,4.5,0.11,0.33,16.7,0.11,0.0,-0.01,22.8,22.79,15.4,2.91,0.62,1.94,1.65,0.24,2.65,2.65,1.65,0.35,0.06,0.26,0.29,0.03,1.35,4.5,3.18,71.2,0.44,0.29,0.26,0.29,29.4,0.06,0.0,0.0,15.2,8.79,7.24,6.09,1.91,6.32,14.0,45.1,7.71,10.4,3.82,6.53,10.4,25.7,22.1,0.38,90,100,83.0,6.44,4.62,17,4.26,1.62,1.71,1.35,0.35,0.35,1.62,1.49,0.12,0.12,49.0,569.7,68.2,195.0,244.7,135.1,21.7,569.5,6.65,12.4,53.8,15.8,6.44,336.4,26.6,342.4,460.4,74.4,6443.0,2597.7,142.4,172.2,82.7,145.7,174.9,83.3,44.2,84.6,52.3,-0.02,9.79,27.0,8.62,2.15,27.1
34.0,2.41,0.18,0.03,0.35,0.15,1.97,0.33,-0.3,-0.3,7.29,21.1,34.5,33.4,4.24,45.8,38.0,8.0,72.8,51.4,16.1,0.82,5.1,1.56,1.56,16.6,34,374,0.76,0.44,0.62,0.15,0.15,1.79,0.0,1.21,1.06,0.99,0.88,0.63,1.51,1.62,9.09,2.82,31.1,9.09,2.82,0.07,0.22,18.2,0.1,-0.23,-0.26,15.4,15.41,10.5,1.35,1.09,0.88,1.03,0.53,1.26,1.26,0.79,0.09,0.12,0.12,0.15,0.0,2.41,5.53,3.26,59.6,0.09,0.26,0.65,0.18,17.6,0.18,0.0,0.0,16.7,9.88,7.59,7.41,1.71,7.94,16.7,47.6,8.74,12.2,3.65,8.59,11.0,27.7,20.9,0.24,90,100,83.0,6.94,4.09,19,4.44,0.53,0.82,2.41,-1.59,-1.59,0.99,1.99,-0.99,-0.99,43.6,524.4,70.5,196.2,231.9,102.0,14.6,524.3,7.82,15.8,49.6,18.3,9.06,294.5,22.1,299.4,410.9,72.9,5512.2,2279.5,126.4,150.2,84.2,130.2,159.0,81.9,34.9,75.4,46.3,-0.19,6.12,21.7,4.41,1.26,22.6
34.0,2.09,0.24,0.03,0.29,0.0,1.65,0.29,-0.44,-0.44,5.56,15.3,36.3,26.0,5.06,38.6,35.0,8.15,65.0,49.3,16.1,0.88,5.5,1.24,1.24,14.0,34,374,1.03,0.68,0.94,0.09,0.09,1.82,0.06,1.71,1.62,1.09,1.03,0.82,1.84,1.91,10.7,3.5,32.6,10.74,3.5,0.09,0.27,17.5,0.1,-0.06,-0.09,18.8,18.76,12.7,2.26,0.91,1.21,1.21,0.47,1.71,1.71,1.03,0.24,0.03,0.12,0.24,0.06,2.09,5.06,2.97,63.4,0.26,0.18,0.53,0.18,17.6,0.24,0.0,0.0,16.1,9.44,8.65,5.79,1.62,7.41,16.0,46.3,8.59,11.1,3.09,8.0,11.9,28.0,24.0,0.44,90,100,80.0,6.53,4.47,24,4.44,0.97,1.09,2.09,-1.0,-1.0,1.09,1.72,-0.62,-0.62,43.7,527.9,66.5,204.6,229.8,99.3,15.9,527.8,8.26,15.5,53.4,15.8,9.29,297.9,21.3,303.4,414.0,73.3,5462.7,2263.8,135.7,162.4,83.6,122.1,150.1,81.3,36.1,72.9,49.5,-0.14,7.97,19.1,5.32,1.65,21.9
34.0,1.76,0.06,0.0,0.26,0.03,1.56,0.32,-0.17,-0.17,4.21,11.9,35.2,39.2,5.59,26.3,29.0,6.56,24.7,28.9,12.6,0.82,6.5,1.91,1.91,16.6,34,374,1.62,1.24,1.62,0.0,0.0,2.21,0.0,2.85,2.85,1.85,1.85,1.49,3.34,3.34,13.3,4.41,33.2,13.29,4.41,0.12,0.37,15.1,0.14,-0.23,-0.23,23.1,23.09,17.1,2.09,1.15,1.53,0.79,0.38,2.94,2.94,2.38,0.09,0.15,0.24,0.03,0.06,1.76,4.76,3.0,64.2,0.38,0.21,0.41,0.24,23.5,0.12,0.03,0.03,14.2,8.53,5.62,6.35,2.21,6.59,14.3,46.2,7.68,11.5,2.59,8.88,8.38,22.6,15.3,0.5,90,100,81.0,6.44,4.56,22,4.15,1.35,1.71,1.76,-0.06,-0.06,1.85,1.71,0.14,0.14,53.2,636.9,70.1,218.9,276.8,146.6,25.1,636.9,7.35,15.5,47.5,16.2,7.09,414.6,31.9,421.3,533.6,79.0,7545.9,2887.9,181.3,208.9,86.8,182.3,211.4,86.2,46.0,81.1,56.7,-0.25,9.88,30.8,10.1,3.29,32.6
