90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
38.0,1.71,0.16,0.0,0.26,0.0,1.54,0.3,-0.17,-0.17,9.71,20.6,47.1,21.3,2.53,64.6,44.8,9.24,74.4,50.9,16.3,0.68,4.2,1.26,1.26,15.7,38,418,0.76,0.53,0.61,0.16,0.18,2.45,0.11,1.29,1.13,1.08,0.94,0.73,1.67,1.81,9.82,2.92,29.8,9.82,2.92,0.06,0.21,18.2,0.1,-0.32,-0.33,16.5,16.53,10.3,2.32,1.0,1.21,1.39,0.29,1.26,1.26,0.71,0.16,0.11,0.13,0.16,0.0,1.71,4.42,2.63,64.9,0.21,0.18,0.61,0.16,15.8,0.24,0.08,0.0,14.5,8.53,7.13,5.82,1.53,6.89,16.8,41.1,9.87,9.82,2.79,7.03,9.89,24.4,23.4,0.18,90,100,82,6.5,4.39,20,7.29,0.82,0.82,1.71,-0.89,-0.89,1.08,1.7,-0.62,-0.62,42.0,480.0,58.6,163.2,212.1,110.0,15.8,479.8,7.13,13.3,53.8,16.2,7.32,250.1,18.0,254.6,373.0,68.3,5027.5,2256.3,109.4,136.2,80.4,99.3,130.4,76.2,40.1,83.1,48.3,-0.21,6.84,22.0,5.24,2.21,18.7
38.0,0.95,0.08,0.0,0.05,0.03,0.97,0.26,0.05,0.05,4.16,10.6,39.3,19.7,5.29,35.4,33.7,7.08,50.9,41.7,15.2,0.79,5.2,1.08,1.08,15.4,38,418,1.05,0.89,0.97,0.08,0.18,2.37,0.11,1.95,1.87,1.43,1.28,1.09,2.37,2.52,12.1,3.95,32.6,12.11,3.95,0.08,0.25,16.8,0.11,-0.38,-0.31,21.6,21.58,15.3,2.47,1.21,1.11,1.24,0.26,1.89,1.89,1.37,0.24,0.03,0.05,0.13,0.08,0.95,3.45,2.53,74.8,0.37,0.34,0.29,0.34,34.2,0.08,0.0,0.0,13.4,7.68,5.71,5.68,1.97,5.89,15.3,38.5,9.42,10.8,3.37,7.45,8.92,22.3,20.7,0.21,90,100,81,6.24,4.74,21,5.5,1.45,1.13,0.95,0.18,0.18,1.43,1.14,0.29,0.29,48.1,556.9,54.4,163.6,249.7,149.3,21.1,556.8,7.82,13.9,56.0,15.0,8.97,336.1,29.4,340.7,454.8,74.9,6031.5,2407.3,153.8,179.6,85.6,136.8,169.3,80.8,37.8,74.5,50.8,-0.19,9.24,27.8,8.05,2.16,30.0
38.0,1.13,0.18,0.05,0.11,0.08,0.85,0.23,-0.2,-0.2,4.47,15.7,28.4,21.3,4.08,49.9,39.0,7.45,68.6,48.6,12.6,0.71,5.7,0.76,0.76,13.8,38,418,1.66,1.18,1.55,0.11,0.13,2.92,0.18,2.84,2.74,1.54,1.46,1.13,2.58,2.67,12.1,4.0,33.2,12.05,4.0,0.13,0.39,17.5,0.12,0.12,0.1,21.8,21.79,15.6,2.26,1.47,1.08,1.05,0.32,2.92,2.92,2.26,0.16,0.13,0.21,0.08,0.08,1.13,2.79,1.71,66.0,0.55,0.21,0.24,0.32,31.6,0.21,0.03,0.0,16.7,9.11,7.63,7.34,1.76,7.71,16.3,47.3,8.58,9.79,2.58,7.21,9.61,26.3,17.1,0.37,90,100,79,6.42,4.47,26,4.18,1.87,1.71,1.13,0.58,0.58,1.54,1.02,0.52,0.52,50.6,602.3,52.8,178.2,281.1,148.0,22.4,602.2,10.1,15.8,63.8,14.6,9.29,391.6,27.1,396.7,502.6,78.9,6661.6,2334.8,194.2,218.1,89.0,138.7,164.9,84.1,43.2,80.5,53.6,0.06,9.13,26.0,8.55,1.74,27.6
38.0,1.0,0.05,0.03,0.18,0.0,0.9,0.26,-0.1,-0.1,3.87,7.61,50.9,31.0,4.34,18.6,27.3,6.03,30.6,33.4,10.1,0.39,3.9,1.0,1.0,15.5,38,418,1.79,1.37,1.63,0.16,0.18,2.55,0.13,3.16,3.0,1.78,1.64,1.33,2.96,3.11,13.4,4.66,34.6,13.45,4.66,0.12,0.35,17.1,0.12,0.01,-0.01,24.7,24.74,19.1,1.63,1.79,0.89,1.08,0.24,3.24,3.24,2.5,0.13,0.18,0.21,0.16,0.05,1.0,3.24,2.21,70.7,0.55,0.26,0.18,0.29,28.9,0.08,0.03,0.0,15.4,8.71,6.21,7.11,2.13,6.42,13.0,49.5,6.55,9.11,2.24,6.87,8.55,24.0,12.3,0.45,90,100,82,6.68,4.18,20,6.95,1.92,1.79,1.0,0.79,0.79,1.78,1.05,0.73,0.73,64.2,752.6,58.7,185.8,375.5,196.8,27.3,752.4,12.5,19.7,63.5,16.4,9.42,558.8,36.4,565.5,658.1,85.9,9454.7,3024.3,268.6,292.3,91.9,221.9,247.4,89.7,51.3,76.6,66.9,0.04,10.6,44.7,10.3,2.61,37.3
38.0,1.05,0.08,0.0,0.08,0.05,1.03,0.27,0.03,0.03,5.29,14.4,36.7,25.3,4.13,41.4,36.0,7.24,54.2,43.9,15.6,0.63,4.1,1.08,1.08,14.1,38,418,1.58,1.18,1.42,0.16,0.16,2.29,0.16,2.76,2.61,1.55,1.43,1.11,2.54,2.66,13.4,4.79,35.8,13.39,4.79,0.11,0.3,18.4,0.11,0.03,-0.01,23.7,23.68,17.6,1.97,1.45,1.21,1.08,0.37,2.47,2.47,1.71,0.13,0.26,0.13,0.21,0.03,1.05,3.47,2.47,72.0,0.5,0.21,0.26,0.34,34.2,0.08,0.0,0.0,17.4,10.3,8.47,6.87,2.08,8.53,18.3,46.6,9.76,10.2,2.95,7.21,9.5,26.9,20.4,0.29,90,100,82,6.61,4.24,21,7.0,1.71,1.63,1.05,0.58,0.58,1.55,1.28,0.27,0.27,53.7,619.3,60.7,192.5,286.8,145.3,21.6,619.1,9.79,17.2,56.8,15.5,9.58,407.3,28.0,413.2,511.7,80.8,7198.3,2616.3,193.7,218.0,88.8,166.3,192.3,86.4,41.7,75.6,55.1,0.07,10.4,29.9,7.74,1.34,28.9
38.0,1.34,0.29,0.0,0.26,0.0,1.39,0.24,0.05,0.05,7.16,20.8,34.3,22.1,3.13,63.3,46.0,8.24,83.1,60.2,15.4,1.11,7.2,0.74,0.74,12.1,38,418,0.92,0.55,0.84,0.08,0.16,2.76,0.08,1.47,1.39,1.19,1.06,0.75,1.81,1.94,10.7,3.11,29.1,10.66,3.11,0.08,0.27,17.9,0.1,-0.27,-0.22,18.1,18.08,12.1,2.26,1.0,1.24,1.08,0.42,1.45,1.45,0.84,0.18,0.08,0.13,0.16,0.05,1.34,4.47,3.08,76.5,0.21,0.39,0.39,0.34,34.2,0.34,0.05,0.0,17.0,10.0,9.11,6.26,1.66,7.92,18.7,42.3,10.8,10.3,2.79,7.47,10.9,27.9,20.2,0.13,90,100,81,6.47,4.53,22,7.11,1.03,0.92,1.34,-0.42,-0.42,1.19,1.45,-0.26,-0.26,41.3,486.3,58.3,171.5,206.7,113.7,16.7,486.2,7.39,13.7,54.1,15.2,7.66,262.2,18.8,266.7,379.3,70.3,5147.0,2049.0,111.9,132.4,84.6,104.7,133.0,78.7,40.8,86.6,47.1,-0.2,7.29,21.8,6.13,3.16,19.3
38.0,1.13,0.11,0.0,0.03,0.05,1.14,0.27,0.06,0.06,7.97,21.2,37.7,30.9,3.45,51.3,40.3,7.45,71.0,52.4,11.9,0.95,8.0,0.97,0.97,14.3,38,418,1.13,0.76,1.05,0.08,0.16,2.29,0.08,1.89,1.82,1.23,1.1,0.84,1.94,2.07,10.7,3.55,33.3,10.66,3.55,0.1,0.3,18.3,0.11,-0.1,-0.05,18.5,18.47,14.2,1.13,0.66,1.32,0.89,0.24,1.84,1.84,1.37,0.05,0.08,0.29,0.03,0.03,1.13,3.58,2.39,71.3,0.32,0.26,0.42,0.37,36.8,0.21,0.11,0.0,18.3,10.8,8.53,7.34,2.45,7.53,20.1,37.5,12.5,11.1,2.39,8.74,9.89,28.2,16.7,0.29,90,100,82,6.87,4.08,21,5.84,1.21,1.13,1.13,0.0,0.0,1.23,1.31,-0.07,-0.07,55.2,648.4,59.8,196.5,308.6,148.8,18.7,648.3,9.11,15.6,58.5,15.1,8.16,415.6,26.2,421.2,541.9,77.7,7546.6,2520.9,182.5,210.1,86.9,173.1,205.1,84.4,48.3,88.6,54.6,-0.08,7.53,29.1,7.5,2.21,26.7
38.0,1.37,0.18,0.0,0.16,0.0,1.43,0.27,0.07,0.07,6.76,16.5,41.1,25.4,4.82,42.1,36.2,9.11,63.3,45.9,16.2,0.66,4.1,1.47,1.47,15.9,38,418,1.03,0.76,1.0,0.03,0.03,2.74,0.16,1.79,1.76,0.96,0.93,0.76,1.69,1.71,8.79,2.79,31.7,8.79,2.79,0.11,0.36,18.0,0.11,0.07,0.07,15.6,15.58,11.3,1.58,1.05,0.61,0.74,0.34,1.79,1.79,1.32,0.11,0.18,0.08,0.05,0.05,1.37,4.58,3.18,74.1,0.29,0.24,0.47,0.21,21.1,0.24,0.03,0.03,15.5,8.55,8.82,5.03,1.66,7.05,16.4,43.1,9.32,9.66,3.32,6.34,8.03,23.5,20.2,0.37,90,100,80,6.21,4.71,22,6.71,1.11,1.05,1.37,-0.32,-0.32,0.96,1.71,-0.75,-0.75,48.4,545.1,65.5,200.9,237.6,111.6,13.0,545.1,8.92,15.7,56.8,17.1,8.68,336.3,19.6,340.7,443.1,76.9,6241.8,2449.8,151.2,172.9,87.4,133.7,158.4,84.4,44.1,82.3,53.6,0.0,6.87,22.7,5.37,2.05,20.0
38.0,1.39,0.11,0.0,0.11,0.05,1.41,0.3,0.07,0.07,4.5,12.3,36.7,24.3,5.82,34.1,33.9,8.16,48.7,39.5,17.4,1.0,5.7,1.26,1.26,14.1,38,418,1.03,0.66,0.89,0.13,0.13,2.61,0.18,1.68,1.55,1.06,0.96,0.75,1.71,1.81,10.6,3.37,31.8,10.61,3.37,0.08,0.27,19.5,0.09,-0.04,-0.07,19.0,18.97,13.7,1.55,1.24,1.05,1.11,0.34,1.76,1.76,1.18,0.13,0.11,0.21,0.08,0.05,1.39,4.45,3.11,71.0,0.24,0.29,0.42,0.26,26.3,0.13,0.0,0.03,14.7,8.89,8.11,5.16,1.39,7.24,17.0,42.6,9.76,9.47,3.0,6.47,8.58,23.2,23.5,0.53,90,100,81,6.16,4.76,21,7.08,1.11,1.05,1.39,-0.34,-0.34,1.06,1.5,-0.44,-0.44,46.9,548.9,68.6,198.0,240.3,116.1,15.2,548.8,9.82,16.2,60.6,14.8,8.71,346.2,21.1,351.6,445.2,79.0,6259.6,2331.8,158.7,178.0,89.2,141.9,165.3,85.8,38.8,74.1,52.4,-0.09,7.89,26.1,5.58,1.55,21.6
38.0,1.08,0.05,0.0,0.13,0.03,1.08,0.29,0.02,0.02,9.63,22.9,42.1,23.5,2.66,69.5,46.7,7.74,84.7,54.2,15.2,0.68,4.5,1.18,1.18,15.0,38,418,0.82,0.68,0.74,0.08,0.13,3.18,0.21,1.5,1.42,0.88,0.78,0.6,1.38,1.48,10.6,2.92,27.5,10.63,2.92,0.07,0.25,20.6,0.07,-0.06,-0.04,18.4,18.39,12.2,2.24,0.84,1.08,1.58,0.45,1.39,1.39,1.0,0.18,0.08,0.05,0.03,0.05,1.08,3.47,2.39,70.5,0.18,0.39,0.39,0.37,36.8,0.11,0.03,0.03,15.4,9.47,7.0,6.39,2.05,6.53,15.6,41.8,9.11,10.5,2.53,8.0,10.6,26.0,18.9,0.21,90,100,83,6.82,4.03,19,6.61,1.03,0.87,1.08,-0.21,-0.21,0.88,1.11,-0.23,-0.23,41.5,487.7,52.7,157.4,228.4,107.2,14.3,487.5,6.37,11.9,53.5,15.9,7.92,266.3,17.3,270.5,384.4,70.4,5179.3,2171.5,119.7,144.4,82.9,103.6,134.0,77.3,39.9,83.6,47.7,0.08,7.58,21.3,4.37,1.92,17.8
38.0,1.61,0.18,0.0,0.18,0.05,1.58,0.27,0.03,0.03,7.03,21.5,32.6,24.5,4.26,57.5,42.8,9.79,76.1,52.4,16.2,0.84,5.2,1.68,1.68,17.4,38,418,1.13,0.74,1.05,0.08,0.13,2.76,0.11,1.87,1.79,1.18,1.08,0.81,1.9,2.0,11.1,3.45,31.1,11.08,3.45,0.1,0.31,19.2,0.1,-0.05,-0.03,18.4,18.39,12.8,1.76,1.13,1.29,1.05,0.34,1.79,1.79,1.18,0.21,0.08,0.16,0.05,0.11,1.61,5.08,3.47,72.0,0.21,0.37,0.39,0.21,21.1,0.24,0.05,0.0,16.1,9.03,8.16,6.32,1.61,7.21,16.6,43.4,9.42,11.5,3.42,8.08,8.58,24.7,22.1,0.21,90,100,80,6.34,4.61,22,6.39,1.0,1.16,1.61,-0.45,-0.45,1.18,1.7,-0.51,-0.51,44.7,498.6,63.4,176.5,215.9,110.9,15.5,498.4,7.11,13.0,54.5,15.5,8.45,273.6,19.8,278.5,391.8,71.1,5244.4,2153.7,119.7,142.1,84.3,111.4,139.3,80.0,38.4,84.7,45.4,-0.08,8.05,22.1,5.39,2.16,20.3
38.0,2.0,0.13,0.03,0.34,0.0,1.73,0.3,-0.27,-0.27,4.08,12.1,33.7,21.9,3.97,41.8,36.4,7.87,37.8,35.2,14.0,0.5,3.6,1.24,1.24,16.6,38,418,1.34,0.89,1.13,0.21,0.34,2.87,0.16,2.24,2.03,1.61,1.37,0.96,2.33,2.57,11.3,3.84,34.0,11.32,3.84,0.1,0.29,17.7,0.12,-0.27,-0.24,18.9,18.92,12.8,2.11,1.26,1.71,0.71,0.34,2.11,2.11,1.47,0.08,0.13,0.24,0.16,0.03,2.0,5.34,3.32,65.0,0.21,0.26,0.5,0.18,18.4,0.16,0.03,0.0,14.7,8.03,7.05,5.58,2.05,6.24,16.1,38.8,9.84,8.58,2.89,5.68,9.92,24.6,19.3,0.32,90,100,81,6.24,4.74,21,6.87,0.92,1.34,2.0,-0.66,-0.66,1.61,1.6,0.01,0.01,47.2,535.7,62.6,194.3,231.3,117.0,18.5,535.3,9.16,18.0,51.0,16.2,7.95,326.2,24.8,331.2,432.2,76.6,5967.3,2340.5,151.1,172.2,87.7,131.1,156.0,84.0,39.5,76.8,51.5,-0.07,8.37,25.5,6.68,1.66,25.5
38.0,1.66,0.16,0.03,0.13,0.11,1.42,0.3,-0.14,-0.14,6.42,15.7,41.0,20.9,3.42,51.8,39.6,8.0,60.2,44.5,15.2,0.45,3.0,0.53,0.53,12.6,38,418,0.87,0.61,0.71,0.16,0.18,3.0,0.18,1.47,1.32,1.16,1.02,0.78,1.8,1.94,11.6,3.45,29.8,11.58,3.45,0.06,0.21,19.5,0.09,-0.29,-0.31,20.0,20.0,13.0,2.39,1.18,1.45,1.45,0.5,1.55,1.55,0.84,0.16,0.11,0.18,0.21,0.05,1.66,4.0,2.39,62.5,0.26,0.24,0.5,0.24,23.7,0.21,0.05,0.0,16.0,8.74,7.92,6.18,1.87,6.53,14.5,45.0,7.97,9.84,3.13,6.71,9.05,25.0,21.7,0.24,90,100,82,6.24,4.68,20,7.18,1.03,0.95,1.66,-0.71,-0.71,1.16,1.43,-0.27,-0.27,45.3,504.9,58.7,173.4,218.5,119.6,16.9,504.7,9.68,16.1,60.1,16.1,10.6,285.3,20.9,290.7,395.3,73.5,5129.9,2158.1,135.5,159.3,85.1,107.9,135.6,79.6,34.5,70.8,48.8,-0.18,7.97,21.2,6.18,1.68,21.6
