90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
38.0,1.45,0.13,0.05,0.24,0.08,1.25,0.28,-0.12,-0.12,3.21,9.89,32.4,19.9,5.68,30.9,33.1,8.05,46.4,40.0,15.2,1.16,7.6,1.0,1.0,12.5,38,418,1.08,0.66,0.84,0.24,0.24,1.84,0.11,1.74,1.5,1.31,1.12,0.8,1.92,2.11,10.1,3.24,32.0,10.11,3.24,0.08,0.26,18.2,0.12,-0.23,-0.28,17.7,17.66,11.6,2.0,1.53,0.95,1.18,0.45,1.87,1.87,1.0,0.16,0.16,0.24,0.26,0.05,1.45,4.08,2.71,67.7,0.26,0.29,0.45,0.21,21.1,0.13,0.0,0.0,16.3,9.74,7.92,6.66,1.71,7.47,17.3,43.1,9.87,10.1,2.61,7.5,11.1,27.4,16.6,0.24,90,100,84,6.84,4.05,16,4.82,1.08,1.16,1.45,-0.29,-0.29,1.31,1.46,-0.15,-0.15,48.4,604.6,57.8,210.3,285.3,115.9,15.2,604.4,10.6,22.1,47.8,19.1,9.82,397.9,25.8,402.8,494.7,81.4,7397.3,2619.8,163.0,184.4,88.4,183.2,208.3,87.9,45.4,75.8,59.9,-0.14,7.29,27.1,4.89,1.47,26.4
38.0,2.39,0.18,0.03,0.26,0.08,1.7,0.29,-0.62,-0.62,6.74,16.4,41.2,27.9,3.5,38.9,34.5,8.66,63.8,45.6,14.4,0.5,3.5,2.08,2.08,17.2,38,418,1.32,1.03,1.26,0.05,0.11,2.39,0.13,2.34,2.29,1.3,1.24,0.97,2.21,2.27,11.7,3.82,32.5,11.74,3.82,0.11,0.33,19.2,0.11,0.02,0.03,20.2,20.21,14.2,1.92,1.39,1.26,0.84,0.61,2.39,2.39,1.61,0.32,0.24,0.13,0.08,0.03,2.39,5.11,2.74,56.7,0.16,0.34,0.5,0.05,5.3,0.24,0.05,0.0,16.9,9.92,8.42,6.42,2.05,8.5,19.5,43.6,11.0,9.39,2.74,6.66,11.9,28.8,18.1,0.5,90,100,81,6.13,4.79,19,4.21,0.82,1.37,2.39,-1.03,-1.03,1.3,1.92,-0.62,-0.61,47.4,565.1,62.2,200.1,262.7,108.8,16.8,565.0,9.34,17.3,54.0,17.8,8.24,350.9,25.2,356.6,457.5,78.0,6677.5,2528.3,151.0,175.1,86.2,148.1,175.8,84.2,47.8,81.3,58.7,0.05,8.58,25.1,5.82,1.55,26.1
38.0,1.5,0.11,0.0,0.21,0.05,1.34,0.28,-0.11,-0.1,7.63,16.4,46.5,23.1,5.39,43.1,37.4,8.63,75.0,53.1,14.2,0.42,3.0,0.89,0.89,14.1,38,418,1.26,0.84,1.08,0.18,0.21,1.55,0.05,2.11,1.92,1.29,1.13,0.9,2.03,2.19,10.4,3.63,35.0,10.37,3.63,0.1,0.3,17.4,0.11,-0.02,-0.05,18.3,18.32,12.9,1.97,1.05,1.13,0.95,0.32,2.03,2.03,1.29,0.18,0.18,0.18,0.16,0.03,1.5,4.47,3.03,68.8,0.34,0.24,0.42,0.18,18.4,0.11,0.0,0.0,17.9,10.5,9.0,6.55,2.39,8.16,17.3,47.2,9.13,9.66,2.84,6.82,12.3,30.3,18.6,0.11,90,100,83,7.11,3.84,19,4.87,1.26,1.29,1.5,-0.21,-0.21,1.29,1.69,-0.41,-0.41,43.9,542.1,60.1,177.9,242.4,128.4,18.2,541.9,8.29,16.8,49.2,17.5,8.21,328.4,24.7,333.8,434.4,76.8,6371.7,2546.3,140.1,165.5,84.6,134.9,162.3,83.1,48.7,82.7,59.0,-0.06,8.03,28.6,6.63,2.32,25.5
38.0,1.82,0.13,0.0,0.26,0.08,1.33,0.28,-0.41,-0.4,3.26,11.4,28.5,23.3,4.21,34.0,32.5,7.0,50.4,37.8,12.2,0.74,6.0,0.84,0.84,13.3,38,418,0.95,0.66,0.89,0.05,0.08,1.71,0.21,1.61,1.55,1.3,1.23,0.94,2.17,2.24,11.4,3.53,30.8,11.45,3.53,0.08,0.25,17.7,0.11,-0.35,-0.34,20.3,20.29,14.6,2.0,1.39,1.26,0.79,0.26,1.68,1.68,1.13,0.18,0.13,0.16,0.08,0.0,1.82,4.34,2.61,61.2,0.24,0.21,0.53,0.21,21.1,0.13,0.0,0.0,16.4,9.5,7.5,6.89,1.97,7.66,17.5,43.8,9.84,9.79,2.61,7.18,10.2,26.5,13.9,0.24,90,100,82,6.66,4.18,19,4.82,0.95,1.0,1.82,-0.82,-0.82,1.3,1.61,-0.32,-0.32,50.0,613.5,56.1,212.0,282.1,125.9,17.4,613.4,8.61,15.8,54.6,16.3,10.8,408.5,26.6,413.4,514.7,80.3,7071.3,2553.6,201.0,227.4,88.4,156.8,183.5,85.5,42.1,73.8,57.0,-0.28,8.55,28.1,6.92,2.68,27.2
38.0,1.26,0.11,0.03,0.08,0.0,1.18,0.29,-0.08,-0.08,3.5,8.97,39.0,19.9,5.11,33.9,31.1,7.39,30.2,30.5,11.9,0.87,7.3,1.18,1.18,15.0,38,418,1.58,1.03,1.45,0.13,0.13,1.92,0.18,2.61,2.47,1.52,1.42,1.08,2.49,2.59,13.4,4.82,35.8,13.45,4.82,0.11,0.3,18.6,0.11,0.06,0.03,23.7,23.66,17.9,1.58,1.39,1.45,0.79,0.55,2.79,2.79,1.97,0.11,0.16,0.29,0.18,0.08,1.26,3.82,2.53,69.7,0.45,0.26,0.24,0.21,21.1,0.13,0.03,0.0,15.6,9.45,7.18,6.39,1.97,7.05,15.9,44.4,8.84,9.47,2.61,6.87,12.0,27.5,16.2,0.18,90,100,83,6.47,4.47,16,4.42,1.63,1.63,1.26,0.37,0.37,1.52,1.29,0.23,0.23,50.7,632.8,54.2,174.8,325.0,140.0,19.5,632.7,9.08,15.6,58.1,16.3,8.84,430.8,32.3,436.1,531.0,82.1,7469.0,2607.2,200.4,225.9,88.7,181.5,208.7,87.0,38.9,65.7,59.1,-0.05,10.1,33.2,7.39,1.84,33.0
38.0,1.26,0.16,0.03,0.21,0.05,1.03,0.23,-0.18,-0.18,4.26,12.7,33.7,19.2,4.11,42.1,35.2,7.66,59.8,45.2,13.7,0.63,4.6,0.92,0.92,14.2,38,418,1.18,0.76,1.08,0.11,0.13,2.58,0.16,1.95,1.84,1.48,1.38,1.01,2.39,2.49,12.1,3.95,32.5,12.13,3.95,0.09,0.27,17.4,0.12,-0.29,-0.3,21.3,21.34,15.6,1.92,1.39,1.18,0.92,0.34,2.13,2.13,1.32,0.18,0.18,0.24,0.21,0.0,1.26,3.87,2.76,71.4,0.37,0.34,0.29,0.26,26.3,0.18,0.03,0.0,17.2,9.45,8.16,7.21,1.82,8.03,16.3,49.3,8.26,9.24,2.92,6.32,9.92,27.1,17.7,0.16,90,100,83,7.08,3.82,18,4.76,1.45,1.26,1.26,0.0,0.0,1.48,1.21,0.27,0.27,50.8,603.5,55.7,183.8,290.1,136.6,20.4,603.4,8.24,16.3,50.5,17.2,9.13,391.7,27.7,397.0,498.1,79.7,6986.6,2467.5,182.2,206.4,88.3,157.1,183.5,85.6,43.6,75.3,57.9,-0.24,9.05,29.6,7.0,1.61,28.5
38.0,1.66,0.13,0.11,0.11,0.08,1.31,0.31,-0.27,-0.27,3.63,13.1,27.7,16.8,3.26,42.4,37.6,8.16,73.5,53.0,14.9,0.24,1.6,0.66,0.66,14.1,38,418,0.92,0.53,0.84,0.08,0.08,1.82,0.11,1.45,1.37,1.26,1.2,0.89,2.09,2.16,11.6,3.84,33.0,11.63,3.84,0.07,0.22,19.3,0.11,-0.34,-0.36,19.9,19.87,13.9,1.63,1.18,1.32,1.26,0.53,1.58,1.58,1.03,0.05,0.21,0.11,0.18,0.0,1.66,3.89,2.32,60.8,0.21,0.32,0.47,0.29,28.9,0.16,0.0,0.03,18.3,10.8,8.87,7.68,1.76,10.1,21.3,47.2,11.3,10.7,3.03,7.63,10.8,29.2,20.4,0.24,90,100,83,6.92,4.03,17,5.0,0.95,0.92,1.66,-0.74,-0.74,1.26,1.51,-0.25,-0.25,44.4,549.4,54.0,180.6,261.4,113.2,15.6,549.4,8.13,15.8,51.6,17.0,8.74,341.4,24.1,346.2,442.5,78.2,6354.2,2289.2,147.2,170.2,86.5,144.6,170.2,84.9,42.9,75.7,56.7,-0.37,8.45,26.3,5.74,2.0,24.8
38.0,1.34,0.18,0.03,0.24,0.08,1.32,0.25,0.06,0.06,3.32,7.84,42.3,27.6,4.87,22.6,29.0,6.66,24.1,30.8,12.1,0.47,3.9,0.92,0.92,15.0,38,418,1.68,1.18,1.47,0.21,0.21,1.71,0.16,2.87,2.66,2.01,1.84,1.48,3.32,3.49,14.4,5.05,35.2,14.37,5.05,0.1,0.29,17.1,0.13,-0.32,-0.37,25.9,25.95,19.6,1.71,1.61,1.61,1.05,0.37,2.92,2.92,2.18,0.11,0.13,0.32,0.18,0.0,1.34,4.55,3.26,74.6,0.45,0.24,0.26,0.24,23.7,0.21,0.03,0.0,16.6,9.66,6.95,7.11,2.58,7.34,16.2,45.4,8.82,10.1,2.39,7.74,10.4,27.1,16.3,0.47,90,100,82,7.24,3.66,22,4.84,1.63,1.74,1.34,0.39,0.39,2.01,1.55,0.45,0.45,58.4,724.6,59.8,206.5,361.7,163.1,23.6,724.3,12.8,21.4,60.0,18.5,10.7,515.2,34.0,520.7,615.5,84.6,8954.4,3071.6,236.5,262.1,90.2,221.1,246.4,89.7,46.8,74.6,62.8,-0.3,11.1,39.1,9.11,1.74,34.9
38.0,1.0,0.11,0.0,0.21,0.03,0.97,0.31,0.0,0.0,3.13,9.26,33.8,39.4,4.79,18.3,26.3,6.16,33.3,33.7,10.7,0.66,6.2,1.76,1.76,18.2,38,418,1.61,1.05,1.34,0.26,0.26,1.61,0.08,2.66,2.39,1.67,1.49,1.22,2.72,2.89,12.9,4.13,32.1,12.87,4.13,0.1,0.32,17.8,0.12,-0.06,-0.15,23.8,23.79,17.4,2.05,1.11,1.39,1.42,0.39,2.89,2.89,1.97,0.18,0.13,0.21,0.32,0.08,1.0,2.95,1.97,69.6,0.55,0.21,0.24,0.39,39.5,0.11,0.0,0.0,14.6,8.39,6.63,6.26,1.74,6.11,13.2,46.3,7.08,6.92,1.71,5.21,8.61,23.2,11.5,0.26,90,100,84,7.18,3.79,17,5.16,1.87,1.66,1.0,0.66,0.66,1.67,1.08,0.58,0.58,61.7,732.7,50.8,197.6,372.2,168.8,22.5,732.5,8.08,15.1,53.6,15.0,8.63,552.3,31.9,559.3,645.4,86.7,9526.1,2880.1,261.0,282.7,92.3,230.9,253.6,91.1,49.4,76.3,64.8,-0.17,10.1,40.7,8.84,1.55,32.5
38.0,1.82,0.13,0.03,0.24,0.05,1.51,0.3,-0.26,-0.26,6.16,16.1,38.3,18.9,5.89,46.7,39.4,8.82,82.4,56.7,15.3,1.29,8.4,1.45,1.45,14.2,38,418,0.87,0.63,0.84,0.03,0.03,2.47,0.24,1.5,1.47,0.9,0.88,0.65,1.53,1.55,9.74,2.95,30.3,9.74,2.95,0.09,0.29,20.5,0.09,-0.03,-0.03,16.7,16.66,11.8,1.63,0.84,0.92,1.08,0.34,1.45,1.45,1.03,0.08,0.08,0.13,0.13,0.0,1.82,4.68,2.92,64.0,0.16,0.34,0.45,0.21,21.1,0.13,0.0,0.0,18.7,11.6,10.4,7.24,1.08,7.89,17.1,46.2,9.18,11.9,3.66,8.24,13.3,32.1,20.6,0.29,90,100,81,7.08,3.84,25,5.03,0.82,0.92,1.82,-0.89,-0.89,0.9,1.83,-0.93,-0.93,42.9,530.4,58.1,193.0,251.4,93.2,10.7,530.4,8.79,16.0,54.8,18.7,9.58,312.7,19.3,317.6,412.8,76.9,5853.9,2230.3,134.7,158.3,85.1,135.7,160.0,84.8,37.6,71.4,52.7,-0.02,7.24,21.5,3.32,1.29,19.9
