90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
38.0,1.26,0.13,0.0,0.08,0.03,1.25,0.29,0.02,0.02,3.97,14.0,28.3,28.2,4.61,34.9,33.3,5.74,73.4,54.3,12.8,0.84,6.6,1.61,1.61,15.6,38,418,1.58,1.08,1.45,0.13,0.21,1.76,0.11,2.66,2.53,1.77,1.64,1.22,2.86,2.99,15.3,4.89,32.0,15.29,4.89,0.09,0.3,17.8,0.11,-0.19,-0.19,27.1,27.08,20.7,1.79,1.5,1.74,1.03,0.32,2.61,2.61,1.82,0.21,0.11,0.34,0.11,0.03,1.26,3.87,2.63,70.7,0.58,0.08,0.34,0.34,34.2,0.16,0.0,0.03,14.2,8.18,6.87,5.13,2.21,6.42,13.2,48.8,6.74,10.2,3.24,6.92,7.79,22.0,17.3,0.53,90,100,85.0,8.0,2.89,17,6.11,1.82,1.61,1.26,0.34,0.34,1.77,1.35,0.42,0.42,52.8,621.8,58.7,187.8,271.0,168.4,25.3,621.6,8.39,15.5,54.1,14.7,8.84,420.7,27.8,425.7,522.2,81.5,7391.3,2397.8,192.8,216.1,89.2,189.1,214.2,88.3,34.9,68.0,51.3,-0.14,11.5,35.6,8.66,1.95,28.4
38.0,1.42,0.11,0.05,0.13,0.05,1.22,0.29,-0.14,-0.14,4.13,11.6,35.5,23.2,4.63,36.4,33.6,7.92,40.2,35.0,13.5,1.05,7.8,0.89,0.89,14.8,38,418,1.32,1.11,1.24,0.08,0.08,2.13,0.05,2.42,2.34,1.26,1.21,1.0,2.21,2.26,12.1,4.18,34.5,12.13,4.18,0.1,0.3,17.6,0.1,0.06,0.03,22.0,22.0,16.0,2.21,1.26,1.08,1.26,0.16,2.45,2.45,1.71,0.24,0.24,0.18,0.08,0.0,1.42,3.92,2.53,66.4,0.34,0.16,0.5,0.29,28.9,0.16,0.03,0.03,16.7,10.1,7.89,6.82,1.97,7.89,17.1,46.2,9.18,11.9,3.68,8.24,8.95,25.6,18.2,0.34,90,100,85.0,8.0,2.97,20,6.0,1.18,1.37,1.42,-0.05,-0.05,1.26,1.43,-0.17,-0.17,46.5,538.9,63.4,180.7,232.8,131.2,21.4,538.8,8.76,15.4,56.7,15.7,9.05,331.1,24.1,335.5,434.2,77.3,5815.1,2247.8,155.7,179.0,87.0,136.4,161.5,84.5,32.6,67.7,48.2,0.11,9.37,26.8,7.71,1.84,24.6
38.0,1.47,0.13,0.03,0.21,0.05,1.3,0.25,-0.12,-0.12,7.84,20.2,38.8,35.7,4.84,43.1,35.4,7.84,61.4,45.5,16.5,0.97,5.9,1.53,1.53,16.4,38,418,1.21,0.87,1.05,0.16,0.16,1.71,0.08,2.08,1.92,1.34,1.22,0.96,2.18,2.31,11.5,3.71,32.3,11.47,3.71,0.09,0.28,16.3,0.11,-0.13,-0.17,19.5,19.47,12.8,2.53,0.97,1.63,1.13,0.37,2.08,2.08,1.21,0.29,0.13,0.21,0.24,0.0,1.47,4.71,3.29,71.5,0.34,0.18,0.47,0.24,23.7,0.13,0.0,0.0,16.0,9.0,7.87,6.0,2.11,7.66,16.2,47.2,8.55,10.1,2.97,7.11,10.3,26.3,22.7,0.18,90,100,84.0,8.0,3.0,22,5.87,1.21,1.26,1.47,-0.21,-0.21,1.34,1.42,-0.07,-0.07,44.8,535.3,73.4,206.5,214.6,118.8,21.2,535.1,6.89,12.5,55.0,14.8,7.66,302.4,22.9,307.3,428.2,71.8,5575.4,2262.6,136.9,166.1,82.4,126.2,161.1,78.4,35.7,75.1,47.6,-0.09,8.18,24.8,6.89,2.13,23.6
38.0,1.16,0.08,0.03,0.16,0.0,1.12,0.28,-0.04,-0.04,4.24,14.9,28.3,34.7,4.95,31.4,32.8,6.34,64.3,48.8,14.1,1.58,11.2,0.95,0.95,12.8,38,418,1.05,0.79,0.95,0.11,0.18,1.89,0.05,1.84,1.74,1.39,1.25,0.98,2.23,2.38,12.7,3.71,29.3,12.68,3.71,0.07,0.26,17.7,0.1,-0.34,-0.3,22.8,22.84,16.6,2.21,1.24,1.42,1.03,0.34,1.89,1.89,1.32,0.21,0.08,0.16,0.11,0.03,1.16,3.84,2.68,71.9,0.32,0.37,0.29,0.29,28.9,0.11,0.0,0.03,17.6,10.6,8.05,6.76,2.76,6.39,14.8,43.2,8.42,12.6,3.95,8.68,9.42,27.0,19.0,0.32,90,100,84.0,8.11,2.92,22,6.08,1.34,1.11,1.16,-0.05,-0.05,1.39,1.31,0.08,0.08,54.4,649.4,69.4,211.2,275.3,168.5,22.7,649.2,8.34,14.7,56.7,15.7,9.18,426.2,27.5,431.8,541.8,79.7,7600.7,2508.7,189.3,215.1,88.0,187.6,216.0,86.9,41.6,77.7,53.5,-0.19,9.37,31.2,9.0,1.89,28.0
38.0,1.39,0.13,0.03,0.18,0.05,1.25,0.25,-0.09,-0.09,9.11,22.9,39.8,22.4,4.05,69.8,46.5,8.0,91.1,61.3,16.9,1.21,7.2,2.21,2.21,17.4,38,418,0.84,0.68,0.82,0.03,0.05,1.79,0.05,1.53,1.5,1.15,1.13,0.9,2.02,2.05,10.7,3.13,29.4,10.66,3.13,0.08,0.26,17.2,0.11,-0.31,-0.31,17.7,17.74,12.0,2.13,0.74,1.32,1.32,0.26,1.58,1.58,1.03,0.24,0.13,0.08,0.11,0.0,1.39,4.68,3.34,73.0,0.18,0.37,0.45,0.24,23.7,0.13,0.0,0.0,15.5,8.53,7.18,6.18,2.16,6.58,14.1,46.8,7.47,13.4,5.55,7.84,10.8,26.3,23.3,0.47,90,100,86.0,8.45,2.53,19,6.42,0.92,0.89,1.39,-0.5,-0.5,1.15,1.68,-0.53,-0.53,40.2,480.4,58.9,153.3,210.7,122.0,17.3,480.3,6.79,12.6,53.9,14.2,7.66,244.3,18.6,248.8,371.2,67.0,4704.8,2110.4,113.1,140.2,80.6,87.0,117.7,73.9,38.3,84.6,45.3,-0.21,7.53,23.1,6.32,2.21,19.2
38.0,0.87,0.16,0.0,0.05,0.03,0.83,0.22,-0.01,-0.01,2.39,5.84,41.0,23.6,4.82,19.0,25.5,5.21,26.3,25.2,11.0,0.79,7.2,1.42,1.42,15.4,38,418,1.97,1.37,1.76,0.21,0.24,1.66,0.03,3.34,3.13,1.86,1.68,1.36,3.04,3.22,15.3,5.26,34.3,15.34,5.26,0.11,0.34,17.4,0.11,0.11,0.08,28.0,28.0,21.6,1.63,1.24,1.97,1.29,0.32,3.55,3.55,2.55,0.24,0.21,0.26,0.24,0.05,0.87,3.03,2.18,76.5,0.55,0.29,0.16,0.42,42.1,0.16,0.0,0.0,16.3,9.16,7.03,7.08,2.24,6.76,14.9,45.3,8.16,10.7,2.53,8.21,9.13,25.5,16.9,0.39,90,100,84.0,8.05,2.92,22,5.95,1.95,2.0,0.87,1.13,1.13,1.86,1.01,0.86,0.86,61.8,757.8,59.8,208.0,351.3,204.7,27.7,757.6,9.58,16.4,58.3,15.6,10.1,550.8,34.6,557.6,654.9,85.1,9008.6,2976.2,279.7,305.7,91.5,218.9,245.3,89.2,40.1,66.2,60.6,0.01,11.6,42.5,11.5,1.74,35.4
38.0,1.21,0.08,0.05,0.29,0.05,1.01,0.24,-0.14,-0.14,3.42,9.87,34.7,26.3,5.84,27.0,28.6,7.03,39.3,32.7,13.8,0.74,5.3,1.13,1.13,15.1,38,418,1.32,0.82,1.16,0.16,0.21,1.82,0.03,2.13,1.97,1.42,1.25,0.97,2.22,2.38,10.6,3.68,34.7,10.63,3.68,0.11,0.31,16.1,0.12,-0.1,-0.09,18.7,18.74,13.2,1.66,1.16,1.21,1.13,0.42,2.13,2.13,1.39,0.08,0.18,0.21,0.24,0.03,1.21,3.79,2.61,70.1,0.29,0.39,0.29,0.32,31.6,0.11,0.03,0.0,16.7,9.82,8.47,6.21,2.05,7.18,15.1,47.5,7.95,11.9,3.55,8.34,8.76,25.5,20.0,0.13,90,100,85.0,8.13,2.84,18,6.03,1.26,1.32,1.21,0.11,0.11,1.42,1.21,0.21,0.21,51.1,613.1,72.5,230.0,261.2,128.3,19.3,612.8,10.1,18.1,55.7,17.7,12.4,389.2,23.4,394.3,502.1,78.5,6987.8,2434.5,172.4,197.2,87.4,171.6,200.3,85.7,38.6,75.6,51.1,-0.15,8.03,26.1,7.11,1.97,24.0
38.0,1.74,0.05,0.05,0.34,0.13,1.47,0.29,-0.13,-0.13,7.68,22.2,34.6,24.4,3.26,65.2,46.5,7.84,80.5,59.5,14.9,0.68,4.6,0.97,0.97,14.4,38,418,1.11,0.76,0.95,0.16,0.18,2.16,0.16,1.87,1.71,1.25,1.11,0.88,1.99,2.13,11.3,3.42,30.2,11.32,3.42,0.08,0.28,17.7,0.1,-0.14,-0.16,19.5,19.5,14.0,1.82,1.16,1.11,1.18,0.24,1.79,1.79,1.21,0.11,0.11,0.16,0.21,0.0,1.74,4.95,3.34,66.0,0.29,0.16,0.55,0.21,21.1,0.05,0.0,0.0,18.6,10.6,9.71,6.63,2.21,8.84,19.3,45.7,10.5,13.1,3.68,9.37,9.61,28.2,21.4,0.39,90,100,85.0,8.34,2.55,21,6.32,1.03,1.13,1.74,-0.61,-0.61,1.25,1.6,-0.35,-0.35,40.0,498.3,60.2,168.4,206.5,129.8,19.1,498.2,8.87,16.7,53.2,16.8,8.55,268.5,20.6,272.8,383.1,71.2,4863.2,2004.0,128.6,154.2,83.4,101.2,129.0,78.4,32.0,71.2,44.9,-0.12,8.5,23.6,6.71,2.03,21.1
38.0,2.08,0.13,0.08,0.26,0.03,1.64,0.26,-0.41,-0.41,2.87,10.9,26.4,29.2,7.26,27.5,29.3,7.66,37.1,33.2,11.7,0.61,5.2,1.24,1.24,14.4,38,418,1.11,0.68,0.97,0.13,0.13,2.66,0.08,1.79,1.66,1.33,1.22,0.94,2.17,2.27,12.6,3.74,29.6,12.63,3.74,0.08,0.26,18.3,0.1,-0.22,-0.25,21.7,21.66,15.4,1.84,1.34,1.58,1.11,0.37,1.74,1.74,0.95,0.05,0.26,0.26,0.13,0.08,2.08,5.89,3.84,67.0,0.24,0.29,0.47,0.13,13.2,0.13,0.0,0.0,20.7,11.5,10.4,7.84,2.45,10.7,23.3,46.0,12.6,12.4,3.76,8.68,10.4,31.1,16.4,0.39,90,100,82.0,8.21,2.79,29,6.16,1.0,1.11,2.08,-0.97,-0.97,1.33,1.93,-0.6,-0.6,52.3,593.9,68.9,224.4,248.4,127.5,20.5,593.7,8.92,17.2,51.8,17.8,7.84,362.7,28.4,368.1,481.3,76.5,6385.9,2346.3,165.0,191.7,86.1,155.8,185.5,84.0,34.9,72.5,48.1,-0.26,9.13,26.2,7.16,1.39,29.1
38.0,1.55,0.18,0.03,0.39,0.03,1.5,0.26,-0.03,-0.03,5.16,12.9,39.9,27.0,4.58,35.6,33.9,7.84,42.3,37.1,14.5,0.42,2.9,1.03,1.03,14.7,38,418,1.63,1.21,1.58,0.05,0.05,1.45,0.03,2.84,2.79,1.37,1.33,0.99,2.32,2.36,11.4,4.32,37.9,11.39,4.32,0.14,0.37,17.8,0.12,0.26,0.25,19.6,19.61,14.9,1.08,1.26,1.11,0.87,0.39,2.76,2.76,2.13,0.08,0.11,0.21,0.13,0.11,1.55,5.05,3.47,72.9,0.37,0.26,0.37,0.18,18.4,0.24,0.05,0.0,18.2,10.1,8.84,7.11,2.21,8.05,18.9,42.5,10.9,12.3,3.84,8.5,9.66,27.8,20.4,0.39,90,100,84.0,8.11,2.87,23,6.11,1.37,1.63,1.55,0.08,0.08,1.37,1.81,-0.44,-0.44,52.0,637.1,72.8,224.6,289.8,128.3,19.3,637.1,7.82,14.4,54.3,15.8,9.68,419.5,25.9,424.4,529.9,80.1,7093.3,2479.3,204.0,231.3,88.2,173.0,199.4,86.7,35.0,67.9,51.5,0.22,8.21,27.0,6.68,1.5,26.5
