90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,LGCmp,LGAtt,LGCmp%,PAtt,Thr,PLaunch%,PAvgLen,GAtt,GLaunch%,GAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xA,npxG+xA,xG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,SCA▼,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,GPKatt,PKsv,PKm,TKTkl,TklW,TK Def 3rd,TK Mid 3rd,TK Att 3rd,VSTkl,DAtt,Tkl%,Past,Blocks,DSh,Pass,Int,Tkl+Int,Clr,Err,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,PPProg,TCmp,TAtt,TCmp%,PTotDist,PPrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,A-xA,KP,1/3,PPA,CrsPA,PProg
38.0,1.26,0.13,0.0,0.08,0.08,1.16,0.29,-0.02,-0.02,4.13,10.2,40.6,22.7,5.34,26.0,30.7,6.32,67.9,49.2,9.37,0.76,8.1,1.13,1.13,16.2,38,418,1.63,1.26,1.5,0.13,0.16,2.29,0.05,2.89,2.76,1.87,1.76,1.47,3.23,3.34,15.7,4.39,27.9,15.74,4.39,0.1,0.34,16.5,0.12,-0.24,-0.26,28.2,28.16,20.3,2.58,1.82,2.26,0.84,0.39,2.89,2.89,2.32,0.05,0.21,0.21,0.08,0.03,1.26,3.66,2.47,69.1,0.42,0.29,0.26,0.26,26.3,0.16,0.0,0.03,16.6,8.97,6.63,7.13,2.82,7.87,16.7,47.1,8.84,11.5,2.53,8.95,11.6,28.2,12.7,0.16,90,100,80.0,6.24,4.74,24,5.61,1.55,1.71,1.26,0.45,0.45,1.87,1.33,0.55,0.55,55.0,669.4,49.3,177.0,303.9,195.6,29.6,669.2,9.79,17.9,54.8,18.3,9.89,444.6,34.8,450.2,559.5,80.5,7655.4,2728.8,217.7,246.5,88.3,177.4,206.2,86.0,41.7,72.6,57.4,-0.21,12.6,36.4,11.2,2.13,35.6
38.0,1.45,0.21,0.03,0.08,0.05,1.48,0.26,0.08,0.08,5.21,12.7,41.1,26.2,4.47,39.3,34.1,8.11,29.5,27.0,13.8,0.76,5.5,0.37,0.37,11.2,38,418,1.13,0.89,1.03,0.11,0.13,2.42,0.18,2.03,1.92,1.27,1.16,0.93,2.09,2.19,11.4,3.76,32.9,11.42,3.76,0.09,0.27,18.1,0.1,-0.13,-0.14,20.4,20.45,15.8,1.87,0.68,1.08,0.89,0.16,2.0,2.0,1.55,0.18,0.05,0.13,0.08,0.0,1.45,4.84,3.42,74.5,0.29,0.26,0.42,0.34,34.2,0.24,0.03,0.0,13.9,7.84,6.87,5.32,1.76,5.68,13.9,40.9,8.21,10.1,3.34,6.76,9.76,23.7,17.8,0.13,90,100,81.0,6.37,4.5,20,7.26,1.21,1.16,1.45,-0.29,-0.29,1.27,1.57,-0.31,-0.31,50.6,580.0,68.0,197.4,259.8,128.4,16.5,579.8,8.58,15.7,54.5,14.8,7.95,374.3,23.4,380.1,480.2,79.1,6493.0,2499.4,183.2,208.6,87.8,142.3,169.4,84.0,40.4,71.1,56.9,-0.03,9.03,26.9,7.87,2.34,24.0
38.0,1.79,0.18,0.13,0.26,0.03,1.55,0.28,-0.22,-0.22,9.03,20.1,44.8,25.3,3.21,53.0,39.5,9.05,74.1,48.4,13.8,0.61,4.4,0.89,0.89,14.9,38,418,0.89,0.68,0.82,0.08,0.11,2.53,0.13,1.58,1.5,1.13,1.06,0.85,1.91,1.98,11.1,3.08,27.9,11.05,3.08,0.07,0.26,17.3,0.1,-0.23,-0.24,19.5,19.47,13.7,2.26,0.63,1.66,0.89,0.34,1.61,1.61,1.13,0.13,0.05,0.13,0.13,0.03,1.79,4.87,3.03,67.0,0.16,0.32,0.53,0.08,7.9,0.26,0.08,0.0,14.7,7.97,6.92,6.03,1.71,6.05,14.3,42.3,8.26,10.7,3.37,7.32,10.4,25.1,19.7,0.13,90,100,82.0,6.82,4.13,21,6.63,0.79,0.89,1.79,-0.89,-0.89,1.13,1.7,-0.57,-0.57,44.5,519.5,62.9,181.5,228.3,115.3,16.7,519.4,6.63,12.6,52.6,15.1,6.87,297.3,20.1,302.7,414.8,73.0,5821.5,2339.2,124.9,150.4,83.0,126.3,156.8,80.6,43.6,82.8,52.6,-0.17,8.34,22.4,5.95,2.45,20.6
38.0,1.84,0.13,0.03,0.13,0.16,1.72,0.28,0.03,0.03,3.5,10.2,34.5,28.1,5.66,26.2,29.5,6.76,41.6,37.5,15.8,0.92,5.8,1.0,1.0,13.9,38,418,1.24,0.71,1.05,0.18,0.18,2.29,0.13,1.95,1.76,1.3,1.17,0.85,2.02,2.15,12.9,3.97,30.8,12.89,3.97,0.08,0.26,18.5,0.09,-0.06,-0.12,22.0,21.97,16.4,1.76,1.05,1.34,1.11,0.34,2.21,2.21,1.55,0.16,0.13,0.21,0.16,0.0,1.84,5.68,3.95,69.9,0.26,0.29,0.45,0.18,18.4,0.26,0.05,0.08,14.9,8.61,7.05,5.47,2.42,7.18,15.9,45.0,8.76,11.9,4.66,7.21,9.26,24.2,20.3,0.26,90,100,80.0,6.21,4.68,23,7.13,1.08,1.32,1.84,-0.53,-0.53,1.3,2.01,-0.71,-0.71,47.4,545.5,73.5,186.7,228.9,135.8,20.7,545.3,7.66,14.4,53.2,15.4,8.82,331.5,28.6,336.7,439.5,76.6,5994.7,2396.0,145.5,167.4,86.9,146.9,176.2,83.4,34.6,67.4,51.4,-0.14,9.03,26.7,8.87,1.89,29.1
38.0,1.34,0.08,0.0,0.08,0.05,1.05,0.28,-0.24,-0.24,6.32,14.8,42.8,43.7,4.32,29.2,31.9,5.5,36.8,34.9,9.26,0.63,6.8,1.87,1.87,17.7,38,418,1.55,0.87,1.32,0.24,0.32,2.34,0.21,2.42,2.18,1.73,1.48,1.15,2.63,2.88,13.2,4.53,34.3,13.18,4.53,0.1,0.29,17.2,0.12,-0.17,-0.17,23.9,23.89,17.2,2.24,1.05,1.58,1.55,0.24,2.61,2.61,1.76,0.08,0.11,0.34,0.24,0.08,1.34,3.32,1.97,61.9,0.5,0.13,0.34,0.29,28.9,0.13,0.05,0.0,13.4,7.92,6.11,5.34,1.92,7.05,14.2,49.6,7.16,9.39,2.39,7.0,6.42,19.8,10.7,0.39,90,100,81.0,6.18,4.71,21,7.24,1.63,1.55,1.34,0.21,0.21,1.73,1.21,0.51,0.51,57.7,638.8,63.6,211.5,283.5,150.1,23.9,638.5,7.92,14.3,55.5,16.3,7.24,452.6,28.4,458.4,550.3,83.3,8884.6,2902.4,174.7,196.0,89.1,214.7,240.3,89.3,62.3,91.6,67.9,-0.28,10.2,31.9,9.11,2.76,29.1
38.0,1.58,0.11,0.08,0.18,0.05,1.36,0.26,-0.17,-0.17,6.92,16.5,42.0,24.9,2.71,46.4,36.7,7.11,69.3,46.1,12.9,0.42,3.3,0.53,0.53,12.8,38,418,0.68,0.5,0.53,0.16,0.18,2.42,0.08,1.18,1.03,1.1,0.96,0.77,1.73,1.88,10.4,2.79,26.7,10.45,2.79,0.05,0.19,18.8,0.09,-0.42,-0.43,18.0,17.97,12.2,1.97,0.92,1.05,1.39,0.47,1.26,1.26,0.87,0.11,0.13,0.0,0.13,0.03,1.58,4.84,3.29,69.6,0.11,0.42,0.47,0.26,26.3,0.13,0.03,0.0,19.4,10.9,8.53,7.95,2.97,9.18,19.1,48.0,9.95,12.8,3.53,9.29,11.8,31.3,19.8,0.39,90,100,78.0,6.34,4.71,27,7.05,0.74,0.71,1.58,-0.87,-0.87,1.1,1.53,-0.43,-0.43,43.9,529.2,63.4,181.4,236.7,117.3,18.2,529.0,7.95,15.3,52.0,19.3,9.82,289.5,21.9,294.3,410.2,71.8,5230.7,2151.3,134.8,161.9,83.2,115.6,148.2,78.0,34.2,71.6,47.7,-0.27,7.39,21.8,5.55,1.95,22.6
38.0,1.55,0.08,0.05,0.21,0.05,1.28,0.29,-0.22,-0.22,5.47,16.4,33.4,21.3,3.5,55.5,41.6,6.66,68.4,46.3,13.9,0.58,4.2,0.63,0.63,13.0,38,418,1.66,1.16,1.47,0.18,0.21,2.63,0.18,2.82,2.63,1.52,1.35,1.02,2.37,2.54,12.0,4.0,33.4,11.97,4.0,0.12,0.37,16.9,0.11,0.14,0.12,20.9,20.89,15.9,1.68,0.92,1.11,0.84,0.42,2.79,2.79,2.34,0.08,0.13,0.11,0.13,0.0,1.55,4.18,2.66,64.8,0.37,0.29,0.34,0.11,10.5,0.11,0.03,0.0,14.1,8.11,6.53,5.63,1.89,6.26,14.7,42.7,8.39,10.9,2.82,8.08,10.3,24.4,20.5,0.24,90,100,81.0,6.58,4.34,23,6.42,1.39,1.71,1.55,0.16,0.16,1.52,1.41,0.1,0.1,50.6,568.7,57.2,170.2,263.7,141.4,22.6,568.4,8.24,15.5,53.1,18.0,10.1,337.8,28.8,343.3,457.8,75.0,5970.0,2351.6,160.2,189.4,84.6,133.1,162.6,81.9,37.1,71.8,51.7,0.13,8.76,27.5,9.21,1.87,29.5
38.0,0.84,0.11,0.0,0.08,0.03,0.92,0.25,0.1,0.1,3.76,8.13,46.3,29.9,4.68,24.5,28.2,3.84,20.5,26.6,10.4,0.39,3.8,0.29,0.29,11.3,38,418,2.18,1.5,2.0,0.18,0.29,1.87,0.0,3.68,3.5,2.33,2.12,1.63,3.74,3.95,17.6,6.29,35.8,17.55,6.29,0.11,0.32,15.9,0.12,-0.14,-0.12,31.1,31.08,23.3,2.71,1.13,2.42,0.97,0.58,3.92,3.92,3.0,0.32,0.11,0.37,0.13,0.0,0.84,3.34,2.53,78.0,0.66,0.24,0.11,0.39,39.5,0.11,0.0,0.0,15.5,8.74,6.97,6.32,2.18,6.5,14.3,45.3,7.84,9.47,2.89,6.58,8.74,24.2,12.8,0.29,90,100,81.0,6.11,4.89,19,6.95,2.21,2.21,0.84,1.37,1.37,2.33,1.16,1.17,1.17,56.5,671.8,67.4,212.3,294.5,171.0,30.8,671.5,6.71,12.4,54.1,14.3,6.45,475.8,33.9,483.3,574.5,84.1,8682.9,2950.5,212.9,236.7,89.9,204.8,230.3,89.0,53.8,79.8,67.5,-0.13,13.2,38.2,11.9,3.37,34.3
38.0,0.97,0.11,0.05,0.16,0.03,0.98,0.25,0.03,0.03,3.63,8.11,44.8,25.1,4.63,26.3,30.6,5.24,28.6,31.2,15.0,0.66,4.4,0.76,0.76,13.4,38,418,1.47,0.97,1.34,0.13,0.16,2.03,0.05,2.45,2.32,1.51,1.38,1.08,2.47,2.59,13.6,4.37,32.1,13.61,4.37,0.1,0.31,17.5,0.1,-0.03,-0.04,24.1,24.08,17.8,1.58,1.66,1.5,1.29,0.29,2.61,2.61,1.92,0.13,0.24,0.18,0.13,0.0,0.97,3.24,2.21,73.2,0.53,0.26,0.18,0.34,34.2,0.18,0.08,0.0,14.6,8.32,6.84,5.71,2.05,6.21,13.9,44.6,7.71,10.3,3.53,6.79,8.74,23.3,17.8,0.24,90,100,81.0,6.76,4.24,23,5.87,1.84,1.5,0.97,0.53,0.53,1.51,1.13,0.38,0.38,51.5,625.5,65.5,204.6,289.5,138.0,23.0,625.3,9.66,16.8,57.6,16.0,8.21,427.7,28.1,433.1,522.0,83.0,8083.1,2792.6,175.8,197.7,88.9,195.2,219.3,89.0,53.0,80.2,66.1,-0.11,10.2,33.3,8.03,2.08,28.6
38.0,1.53,0.13,0.03,0.13,0.03,1.37,0.33,-0.13,-0.13,3.82,7.74,49.3,27.6,4.34,23.0,29.1,5.74,24.3,26.5,12.3,0.55,4.5,0.68,0.68,14.3,38,418,1.95,1.26,1.76,0.18,0.24,2.32,0.13,3.21,3.03,1.58,1.4,1.12,2.52,2.7,11.7,4.87,41.6,11.71,4.87,0.15,0.36,17.4,0.12,0.36,0.36,21.0,21.0,16.1,1.45,1.05,1.11,1.08,0.26,3.37,3.37,2.16,0.29,0.32,0.32,0.24,0.05,1.53,3.84,2.34,63.7,0.47,0.26,0.26,0.24,23.7,0.16,0.0,0.03,15.2,8.92,6.47,6.71,2.03,6.26,16.3,38.3,10.1,10.9,3.79,7.16,8.29,23.5,14.9,0.26,90,100,82.0,6.79,4.08,21,7.58,1.68,2.03,1.53,0.5,0.5,1.58,1.37,0.22,0.22,55.4,703.0,65.6,211.3,349.1,149.2,20.9,702.7,8.79,16.1,54.8,14.6,7.18,511.0,27.4,516.6,606.3,85.2,8428.9,2875.1,259.8,286.1,90.8,190.8,214.5,88.9,45.0,68.9,65.3,0.14,9.11,36.8,8.13,1.39,28.0
