Teams,+/-,+/-90,/90,Ast,Att 3rd,CS,Carries,Def Pen,Dis,G+A,G+A-PK,G-PK,G/Sh,G/SoT,GCA,GCA90,GCAPassLive,L,LAtt,LCmp%,LGAtt,MAtt,MCmp,Mid 3rd,Opp,PAvgLen,PLaunch%,PPA,PPM,PTotDist,SAtt,SCAFld,SCAPassLive,SCmp,SCmp%,Sh/90,SoT/90,SoTA,TAtt,TK Att 3rd,Tkld,TotDist,W,onG,onxG,xG,xG+/-,xG+/-90,xG+xGA,xGF,acGF
Arsenal,1.4,1.4,0.12,1.55,197.8,0.45,398.4,51.2,10.7,3.7,3.65,2.1,0.13,0.4,3.75,3.75,3.0,0.1,67.5,57.4,12.1,223.8,197.8,305.5,11.3,34.9,38.6,11.0,2.5,7953.1,238.5,1.35,20.6,215.9,90.5,16.1,5.25,3.1,557.3,3.15,8.05,2159.7,0.8,2.25,1.91,1.91,0.98,0.98,3.26,1.7854456914613963,2.15
Aston Villa,-0.29,-0.29,-0.09,0.71,132.6,0.24,330.2,66.0,10.3,1.86,1.76,1.05,0.09,0.27,1.95,1.95,1.24,0.43,72.2,51.5,13.9,183.8,157.1,259.6,12.7,33.8,36.4,7.0,1.33,6567.2,192.2,0.95,15.4,168.0,87.4,11.71,3.95,4.14,476.1,2.43,7.0,1622.0,0.38,1.19,1.25,1.25,-0.13,-0.13,2.15,1.3393373064159366,1.14
Bournemouth,-1.14,-1.14,-0.19,0.71,108.5,0.19,258.4,75.1,10.4,1.62,1.62,0.9,0.11,0.29,1.57,1.57,1.1,0.57,64.0,49.6,15.3,146.6,122.5,203.0,20.1,35.6,44.2,5.9,0.81,5354.9,160.6,0.71,10.5,136.9,85.2,8.52,3.1,5.05,398.6,1.67,8.43,1397.6,0.19,0.9,0.78,0.78,-0.9,-0.9,1.41,1.206979449939077,0.9
Brentford,0.33,0.33,0.11,0.9,123.7,0.38,274.1,70.2,9.9,2.52,2.29,1.38,0.14,0.36,2.67,2.67,1.67,0.19,76.8,47.8,23.1,144.1,113.5,204.7,15.9,39.3,50.8,7.14,1.57,5374.7,161.8,1.1,11.8,134.5,83.1,10.05,3.86,5.57,407.1,2.29,6.33,1294.0,0.38,1.67,1.4,1.4,0.15,0.15,2.3,1.5459905217971837,1.62
Brighton,0.55,0.55,-0.06,1.05,180.1,0.3,409.8,65.3,9.15,2.75,2.6,1.55,0.11,0.3,3.0,3.0,2.35,0.3,72.5,57.1,9.95,231.6,203.6,297.4,10.2,30.3,26.5,10.4,1.7,8243.1,246.7,0.75,18.9,222.4,90.2,13.8,5.2,3.45,581.6,2.5,6.65,2063.1,0.5,1.9,1.56,1.56,0.31,0.31,2.69,1.5960082303999552,1.7
Chelsea,0.05,0.05,0.37,0.71,171.9,0.38,415.3,69.1,10.8,1.76,1.67,0.95,0.08,0.25,1.95,1.95,1.62,0.33,65.8,56.3,8.0,224.7,198.0,312.5,14.2,25.9,18.1,8.62,1.43,8156.0,275.0,0.62,16.7,247.0,89.8,11.52,3.81,4.24,596.9,3.14,8.38,2089.9,0.38,1.05,1.2,1.2,-0.09,-0.09,2.11,1.2963782357320808,1.05
Crystal Palace,-0.48,-0.48,-0.08,0.76,127.2,0.24,310.5,73.6,13.0,1.62,1.62,0.86,0.08,0.24,1.52,1.52,0.86,0.43,72.1,48.7,11.7,178.2,151.9,247.9,15.9,32.2,34.3,5.29,1.14,6361.0,187.0,1.33,12.8,163.7,87.5,10.76,3.62,4.43,460.8,2.29,8.9,1552.2,0.29,0.9,0.93,0.93,-0.48,-0.48,1.65,1.2043845285307162,0.86
Everton,-0.57,-0.57,0.06,0.57,123.6,0.24,295.3,70.5,8.57,1.29,1.24,0.67,0.07,0.2,1.24,1.24,0.86,0.52,79.5,49.8,20.1,172.6,147.3,239.0,15.4,40.2,51.3,5.67,0.86,6363.3,173.5,0.95,12.1,152.9,88.1,9.95,3.33,5.1,446.8,1.9,7.95,1602.4,0.19,0.76,1.05,1.05,-0.59,-0.59,1.8,1.1345789962248054,0.71
Fulham,0.09,0.09,0.19,0.82,141.6,0.27,305.7,65.0,10.2,2.14,1.95,1.14,0.1,0.3,2.23,2.23,1.32,0.36,74.4,53.9,13.1,183.4,153.3,246.2,12.8,32.2,34.0,7.41,1.45,6409.5,172.2,1.23,14.2,146.4,85.0,11.36,3.82,5.23,456.4,3.05,6.32,1692.5,0.41,1.45,1.32,1.32,-0.35,-0.35,2.11,1.4304998352262697,1.32
Leeds United,-0.38,-0.38,-0.28,0.9,153.4,0.19,310.0,54.5,10.0,2.14,2.1,1.19,0.1,0.32,1.86,1.86,1.19,0.48,65.2,41.3,13.9,168.1,134.9,263.4,12.6,34.7,42.2,6.95,0.9,5675.8,205.0,1.24,14.4,173.8,84.8,12.1,3.76,4.67,473.7,3.33,8.67,1458.8,0.19,1.33,1.3,1.3,-0.24,-0.24,2.19,1.3845690614889845,1.24
Leicester City,-0.24,-0.24,-0.2,1.0,127.9,0.29,348.5,71.0,8.05,2.43,2.38,1.38,0.13,0.35,2.52,2.52,1.76,0.57,65.4,52.9,11.5,206.4,178.9,292.5,14.4,30.1,28.6,6.71,1.0,7272.6,234.2,0.86,14.5,208.1,88.9,10.52,3.95,4.48,535.6,1.67,6.1,1711.6,0.29,1.52,1.2,1.2,-0.4,-0.41,2.18,1.471511524212079,1.43
Liverpool,0.3,0.3,0.39,1.2,187.4,0.25,435.6,63.5,11.6,2.7,2.7,1.5,0.09,0.27,2.75,2.75,1.95,0.35,91.4,59.7,7.0,251.3,217.1,346.3,10.8,26.8,18.4,12.4,1.45,9194.2,261.1,0.75,21.5,231.9,88.8,16.8,5.65,4.65,637.4,2.1,7.15,2173.5,0.4,1.7,1.77,1.77,0.31,0.31,3.15,1.5456721432903153,1.5
Manchester City,1.52,1.52,-0.17,1.95,230.5,0.38,503.4,53.0,8.71,4.43,4.24,2.29,0.14,0.41,4.67,4.67,3.86,0.19,76.7,69.0,6.76,289.1,262.2,384.5,8.0,27.4,17.8,13.1,2.14,10595.8,315.2,1.0,23.7,292.0,92.6,16.48,5.52,2.48,709.7,2.67,6.43,2776.1,0.67,2.52,2.03,2.03,1.22,1.22,3.59,1.9034165946842911,2.48
Manchester Utd,0.36,0.36,-0.15,1.18,168.4,0.36,359.5,67.3,7.73,2.73,2.64,1.45,0.1,0.29,2.82,2.82,2.32,0.23,69.5,52.4,11.0,185.8,160.0,270.5,14.6,31.3,30.9,9.59,1.95,7029.1,242.7,0.68,20.1,215.0,88.6,14.05,5.05,3.77,529.9,2.14,7.59,1834.5,0.59,1.64,1.53,1.53,0.38,0.38,2.68,1.5391616049170016,1.55
Newcastle Utd,1.05,1.05,0.14,1.0,169.4,0.57,304.5,57.1,9.81,2.57,2.43,1.43,0.1,0.31,2.43,2.43,1.62,0.05,75.2,53.5,11.0,171.8,144.4,235.5,12.6,33.6,34.7,10.4,1.9,6372.3,189.3,1.67,17.0,163.7,86.4,14.05,4.67,3.0,464.0,2.43,8.57,1635.2,0.48,1.62,1.61,1.61,0.72,0.72,2.8,1.5267879347564395,1.57
Nott'ham Forest,-0.86,-0.86,-0.17,0.43,108.8,0.33,248.4,72.1,8.48,1.19,1.14,0.71,0.07,0.24,1.14,1.14,0.43,0.43,73.6,45.8,18.6,150.3,122.0,194.0,15.6,39.0,48.4,4.9,1.14,5130.5,138.4,0.95,12.2,114.0,82.4,10.33,3.0,4.76,385.7,2.19,5.71,1318.0,0.29,0.81,1.11,1.11,-0.38,-0.37,1.94,1.1286262125548063,0.76
Southampton,-1.0,-1.0,-0.49,0.57,137.0,0.05,292.3,62.9,10.7,1.38,1.38,0.81,0.07,0.23,1.43,1.43,0.86,0.67,73.6,45.9,20.5,151.0,121.2,232.0,14.0,38.7,51.6,6.95,0.71,5552.5,179.6,1.1,14.3,153.6,85.5,11.33,3.57,3.95,431.9,1.67,8.29,1588.5,0.19,0.81,0.97,0.97,-0.38,-0.38,1.76,1.1878541974005385,0.81
Tottenham,0.45,0.45,-0.1,1.18,142.7,0.32,372.9,73.0,9.95,2.95,2.86,1.68,0.12,0.33,3.0,3.0,2.18,0.32,70.7,58.3,8.41,208.4,182.3,273.1,12.9,31.1,30.3,9.05,1.77,7556.1,221.4,0.95,18.6,197.8,89.3,13.68,5.14,4.5,532.9,2.32,7.36,1949.7,0.55,1.86,1.45,1.45,0.23,0.23,2.54,1.6194940967975529,1.77
West Ham,-0.38,-0.38,0.03,0.33,133.1,0.19,286.2,61.3,8.76,1.19,1.0,0.67,0.05,0.2,1.33,1.33,0.67,0.57,76.4,52.6,14.6,163.9,136.5,238.6,14.1,38.7,50.5,5.86,0.9,6218.5,184.5,0.95,17.1,161.8,87.7,13.19,3.33,4.0,451.4,2.19,6.38,1535.7,0.24,0.86,1.27,1.27,0.16,0.16,2.04,1.1692800110271175,0.86
Wolves,-0.71,-0.71,-0.12,0.43,138.1,0.29,321.2,76.3,8.57,1.1,1.0,0.57,0.05,0.18,1.14,1.14,1.0,0.52,74.0,56.0,11.6,190.2,166.3,232.6,15.5,30.2,27.9,7.38,0.95,6970.0,186.9,0.95,15.1,164.9,88.2,11.48,3.14,4.19,475.7,2.29,8.67,1792.2,0.24,0.71,1.0,1.0,-0.47,-0.47,1.72,1.0801677754744903,0.67
